gid,team,gameNumber,opp,home,spread,n,wins,scored,allowed,lob,n_vs,wins_vs,scored_vs,allowed_vs,dn,dUR,dTUR,dP,dA,dE,dPB,pn,p_W,p_L,p_SV,p_R,p_ER,p_IP,p_BF,p_S,p_D,p_T,p_HR,p_BB,p_HBP,p_IBB,p_K,p_BK,p_WP,p_PO,p_GDP,b_O,b_E,b_S,b_D,b_T,b_HR,b_BB,b_IBB,b_HBP,b_K,b_I,b_SH,b_SF,b_GDP,b_R,b_RBI,b_SB,b_CS,b_PO
20040513COLPIT2,PIT,32,COL,0,9,20,7,86,107,142,2,1,20,17,20,9,1,561,222,12,2,20,4,8,0,55,60,347,499,73,16,3,17,44,4,2,136,2,2,1,0,305,6,106,19,8,16,30,4,9,109,0,8,3,13,68,63,10,5,1
20040627NYANYN1,NYA,72,NYN,1,7,20,13,92,97,149,1,0,3,9,20,12,0,537,195,16,1,20,10,4,0,50,50,326,470,62,12,0,19,46,8,0,102,0,9,0,0,382,8,101,26,5,37,65,8,7,112,0,2,9,23,101,113,9,3,0
20040831ARILAN0,LAN,131,ARI,0,3,20,11,111,82,134,13,11,86,38,20,3,0,533,188,8,3,20,10,6,0,51,48,390,545,80,25,4,9,34,9,5,86,0,7,0,0,311,4,119,24,4,35,64,5,6,152,0,7,5,18,105,105,11,5,1
20040905MILCIN0,MIL,135,CIN,1,-7,20,5,77,119,147,13,6,73,75,20,6,0,540,210,15,1,1,0,1,0,4,4,15,23,5,1,0,0,2,0,0,0,0,2,0,0,258,4,74,33,3,18,53,4,6,121,1,1,6,10,68,69,13,1,0
20040529HOUSLN0,HOU,48,SLN,1,-7,20,9,88,79,162,7,3,37,30,20,4,0,542,183,7,1,20,12,8,0,44,43,344,489,61,18,0,13,53,2,1,104,0,1,0,0,345,5,126,39,2,20,46,12,9,130,0,23,7,13,95,87,9,1,1
20040703FLOTBA0,FLO,81,TBA,1,-5,20,7,79,99,133,4,1,17,16,20,5,0,534,177,11,2,20,9,6,0,46,44,375,515,78,23,2,13,30,3,4,104,0,5,0,0,336,4,112,25,4,17,51,3,4,109,0,4,3,14,77,68,7,3,1
20040605MINDET0,DET,55,MIN,0,6,20,8,90,86,163,7,3,41,42,20,5,0,523,176,15,3,20,5,8,0,62,65,300,461,74,25,3,13,46,5,0,61,0,5,0,0,350,4,133,42,8,18,59,5,5,132,1,8,5,19,90,91,13,12,0
20040720SEABOS0,SEA,92,BOS,1,-2,20,6,88,129,135,4,2,24,25,20,7,0,521,171,11,2,20,6,10,0,69,65,405,571,92,26,2,18,40,4,1,105,0,4,0,0,324,9,104,32,3,20,42,6,4,121,0,6,5,12,71,76,13,8,0
20040707BOSOAK0,OAK,82,BOS,0,-8,20,9,79,100,131,4,1,23,34,20,10,0,517,205,12,1,20,9,5,0,66,58,365,526,75,32,4,17,43,5,5,75,1,5,2,0,347,9,133,34,4,20,57,5,5,124,0,0,8,11,92,86,5,5,1
20040711SFNARI0,ARI,89,SFN,0,-7,20,4,73,104,133,10,4,49,52,20,21,0,519,215,19,1,20,5,11,0,72,66,290,450,74,29,4,17,39,3,2,72,2,1,0,0,316,3,70,34,5,12,42,3,0,84,0,4,1,14,56,44,1,4,1
20040626BALATL0,BAL,70,ATL,1,-5,20,6,81,114,145,1,1,5,0,20,8,0,540,214,19,2,20,7,7,0,71,75,349,516,97,23,1,19,34,7,5,81,1,3,2,0,356,6,119,30,4,16,60,3,6,90,0,5,11,9,80,71,15,5,4
20040608MINNYN0,NYN,57,MIN,0,-1,20,11,82,78,140,0,0,0,0,20,13,2,550,218,18,1,20,7,6,0,45,43,394,533,70,24,8,8,28,1,4,64,0,0,1,0,358,4,105,50,2,27,51,8,5,141,0,4,2,12,83,88,16,3,0
20040424BALTOR0,TOR,17,BAL,0,1,16,4,61,90,113,4,0,8,34,16,9,0,429,155,10,0,20,6,8,0,61,58,384,535,73,19,4,20,41,5,1,74,1,2,2,0,361,9,86,35,5,18,60,2,10,125,0,6,6,18,88,77,2,3,1
20040821SFNNYN0,NYN,121,SFN,0,2,20,10,100,84,134,4,3,19,12,20,8,0,521,214,15,1,20,6,9,0,52,49,400,566,91,28,2,9,32,0,5,73,0,0,0,0,316,3,82,37,2,24,71,5,7,130,0,8,5,13,96,93,14,1,0
20040710BOSTEX0,TEX,85,BOS,0,-8,20,13,130,96,142,4,3,16,16,20,8,3,555,204,16,3,20,14,2,0,51,50,393,547,90,24,3,12,31,10,0,71,0,0,3,0,363,6,136,40,4,40,48,3,12,139,0,1,6,14,131,125,7,5,3
20040425DETCLE0,CLE,19,DET,0,1,18,6,88,117,139,6,2,29,48,18,14,1,499,187,17,3,20,6,7,0,60,60,320,478,89,24,1,9,49,8,1,46,0,3,1,0,384,9,126,39,2,21,70,5,10,110,0,4,2,27,93,89,9,3,3
20040624NYNCIN0,CIN,72,NYN,0,4,20,9,104,128,142,2,1,10,11,20,10,0,542,205,14,1,20,4,9,0,70,71,384,545,76,27,7,18,34,5,2,77,0,7,0,0,332,3,105,37,0,31,63,9,2,130,0,7,7,11,91,87,8,1,4
20040521MONSFN0,SFN,42,MON,0,1,20,9,88,101,162,0,0,0,0,20,11,0,549,216,13,1,20,8,6,0,70,65,358,532,94,26,3,18,33,4,2,65,0,6,0,0,371,7,124,33,2,17,57,26,4,90,0,10,4,28,78,78,8,3,0
20040920TBAKCA0,KCA,149,TBA,0,3,20,9,114,101,141,6,1,19,38,20,11,0,522,172,11,1,20,4,11,0,82,71,323,496,94,37,0,17,35,1,2,46,0,1,2,0,270,7,121,31,3,15,50,2,2,123,0,3,3,17,99,83,7,4,2
20040716ANABOS0,ANA,89,BOS,1,-2,20,11,121,81,137,3,3,25,14,20,5,0,526,157,10,1,20,8,5,0,47,49,371,529,80,21,2,11,53,4,1,105,0,6,1,0,358,6,166,39,7,17,63,5,7,105,0,8,4,15,122,108,21,5,0
20040604OAKTOR0,TOR,55,OAK,0,5,20,10,84,99,147,1,0,1,2,20,8,0,536,200,14,4,10,6,2,0,31,27,184,258,48,6,5,9,8,4,0,41,0,0,1,0,331,10,117,30,3,12,55,4,8,98,0,5,2,20,73,63,8,5,1
20040917CHADET0,CHA,146,DET,1,-1,20,10,91,124,104,13,5,63,72,20,9,0,516,193,17,1,4,2,1,0,17,17,65,104,25,3,0,4,10,1,0,9,0,2,1,0,300,10,104,33,2,16,37,2,11,90,0,5,4,19,87,81,5,3,0
20040430NYAKCA0,NYA,23,KCA,1,3,20,10,84,95,144,0,0,0,0,20,8,0,534,212,20,1,20,9,8,0,48,40,434,578,78,21,2,13,29,5,4,138,1,3,1,0,378,12,98,32,1,24,85,5,10,112,0,3,5,20,94,97,7,6,1
20040415TEXOAK0,TEX,10,OAK,1,5,9,4,53,51,76,5,1,20,28,9,3,0,237,89,7,1,20,9,6,0,68,66,382,551,96,24,4,15,32,11,5,75,2,1,4,0,350,5,117,36,1,24,37,5,8,106,0,1,4,9,87,91,19,3,1
20040807FLOMIL0,MIL,109,FLO,0,-5,20,5,63,111,145,1,0,6,7,20,12,1,516,160,19,1,20,5,6,0,61,69,333,498,89,23,4,14,36,5,2,49,0,8,0,0,271,4,100,31,3,11,52,8,5,120,3,4,5,16,57,58,12,2,1
20040821TBAOAK0,TBA,123,OAK,1,-5,20,7,82,110,131,4,1,20,21,20,10,0,531,159,19,1,20,6,8,0,67,67,318,481,88,29,1,18,26,5,1,50,2,1,1,0,345,9,100,35,2,19,45,2,7,118,0,4,4,9,81,76,11,3,0
20040924MILHOU0,HOU,154,MIL,0,1,20,14,101,83,117,16,11,85,64,20,4,0,525,202,16,0,20,10,4,0,50,49,389,538,72,23,4,9,45,3,2,117,0,4,0,0,295,8,98,28,5,23,51,9,2,110,0,6,6,15,87,80,7,2,1
20040911BALNYA0,NYA,142,BAL,0,3,20,12,119,110,149,17,12,108,98,20,2,0,531,198,5,0,11,7,0,0,18,19,196,270,33,14,0,5,26,3,0,67,0,3,0,0,355,10,131,39,2,19,74,6,9,115,0,6,10,20,112,97,11,7,1
20040927OAKSEA0,SEA,156,OAK,0,-1,20,9,81,94,153,15,6,57,72,20,14,0,531,153,12,1,20,3,9,0,80,72,354,526,83,22,1,24,36,6,1,76,0,1,0,0,348,12,144,27,0,13,47,8,3,127,0,4,11,15,77,76,11,5,2
20040716ANABOS0,BOS,88,ANA,0,2,20,9,119,94,150,3,0,14,25,20,21,0,545,200,18,3,20,10,3,0,49,48,383,521,67,23,4,14,33,9,0,125,0,0,1,0,357,7,136,38,4,31,49,5,7,114,0,1,3,14,115,97,8,0,0
20040916BOSTBA0,BOS,145,TBA,1,7,20,16,127,70,160,15,11,90,53,20,7,0,534,211,11,1,20,14,3,0,54,56,422,566,77,38,1,17,18,4,0,116,0,3,1,0,335,8,114,53,2,34,85,4,7,123,0,2,11,14,123,129,10,3,3
20040810ATLMIL0,ATL,111,MIL,1,-1,20,16,100,59,156,3,2,14,10,20,8,0,540,214,19,2,20,8,7,0,64,62,355,511,104,19,2,15,28,3,4,76,0,2,1,0,336,5,147,32,5,19,72,9,5,104,0,9,5,26,99,103,18,4,0
20040923MONNYN0,MON,153,NYN,1,-2,20,8,88,105,143,15,7,56,54,20,24,0,564,201,17,2,20,5,7,0,50,40,361,510,89,25,2,13,18,1,4,68,0,6,1,0,350,4,100,31,8,22,62,6,4,115,0,7,5,6,81,82,16,3,1
20040616COLBOS0,COL,64,BOS,1,1,20,5,102,121,132,1,1,6,3,20,5,0,525,227,12,0,20,7,10,0,85,85,341,539,96,32,5,18,53,1,9,74,0,3,2,0,326,4,104,45,3,19,50,4,7,146,0,8,5,15,97,85,11,3,0
20040626TEXHOU0,TEX,71,HOU,1,1,20,13,119,94,129,1,1,3,1,20,11,0,568,225,17,0,4,1,1,0,15,15,46,77,15,7,1,4,5,1,0,9,0,0,0,0,370,9,129,27,3,36,45,6,9,120,0,2,7,15,112,126,8,6,0
20040415COLARI0,ARI,9,COL,0,1,8,2,38,66,48,5,2,25,37,8,4,0,216,79,4,2,1,0,1,0,8,8,8,16,3,2,0,5,0,0,0,0,0,0,1,0,352,7,89,39,6,27,66,7,4,75,0,7,6,14,98,83,2,1,1
20040619PHIKCA0,KCA,65,PHI,0,-2,20,11,91,90,133,1,1,10,4,20,6,0,531,196,14,2,5,1,2,0,10,10,99,131,14,7,1,4,5,1,1,14,0,0,0,0,302,6,108,32,4,13,44,6,10,90,0,6,3,8,82,71,8,5,1
20040716HOUSDN0,HOU,89,SDN,1,-4,20,9,77,101,129,3,1,9,8,20,5,0,516,201,11,1,20,13,4,0,55,49,348,502,85,24,2,7,35,0,3,107,0,3,2,0,361,7,92,35,3,17,58,6,4,93,0,10,3,12,72,63,5,1,0
20040722SFNSDN0,SDN,95,SFN,0,5,20,13,106,84,150,8,6,52,27,20,3,0,531,206,11,1,20,7,6,0,45,47,393,522,92,21,2,12,7,2,1,54,1,0,1,0,349,8,127,37,0,16,52,4,5,104,0,4,8,18,83,86,3,4,0
20040531SEATOR0,TOR,51,SEA,0,-4,20,10,88,97,151,0,0,0,0,20,7,0,530,210,11,4,20,6,6,0,57,55,365,506,69,14,3,22,39,4,1,64,0,2,3,0,307,12,99,27,3,13,48,3,10,102,0,4,5,27,64,64,7,3,1
20040609DETATL0,ATL,58,DET,0,-2,20,12,91,71,149,1,1,4,3,20,10,1,544,231,19,0,20,9,6,0,58,57,407,567,105,23,6,12,28,2,2,90,0,1,1,0,344,4,108,37,6,24,71,5,8,146,0,4,4,12,93,94,7,6,0
20040805COLCHN0,CHN,108,COL,0,4,20,12,105,71,102,5,4,35,19,20,3,0,532,184,11,3,20,11,3,0,37,39,374,509,64,28,4,12,33,2,2,143,0,3,0,0,314,4,100,37,5,40,45,6,7,137,0,9,3,12,111,96,13,2,2
20040809BOSTBA0,BOS,110,TBA,1,-5,20,11,122,106,128,9,7,49,26,20,7,2,529,180,12,3,20,12,5,0,52,53,422,576,88,37,1,13,23,2,0,120,0,2,0,0,366,5,118,43,5,32,73,1,10,103,0,0,8,10,105,122,7,7,1
20040816SDNATL0,SDN,118,ATL,1,-1,20,10,99,90,157,3,2,11,7,20,8,0,552,206,9,1,9,4,2,0,22,25,147,205,25,8,0,12,14,1,1,40,0,2,1,0,346,3,98,41,4,17,69,2,3,102,0,7,8,15,70,87,3,0,0
20040828BOSDET0,BOS,128,DET,1,4,20,16,134,86,147,5,4,30,21,20,5,0,537,186,10,0,20,10,3,0,54,56,411,555,76,21,4,15,33,9,0,149,0,1,1,0,346,6,127,52,6,22,73,6,8,125,0,2,9,15,135,113,20,6,1
20040916MILSFN0,SFN,147,MIL,0,4,20,12,113,91,160,5,4,22,13,20,3,0,525,200,10,1,5,1,2,0,19,15,71,118,21,13,0,1,9,0,1,17,0,1,0,0,362,3,114,39,3,27,64,20,8,88,0,3,5,10,110,114,3,4,2
20040427ARICHN0,ARI,20,CHN,1,9,19,8,108,121,117,1,1,9,0,19,12,0,519,194,14,2,20,6,8,0,54,45,359,521,72,16,1,8,57,10,3,130,1,8,0,0,342,5,103,36,4,22,55,7,4,93,0,6,5,15,95,89,9,4,0
20040520TEXKCA0,TEX,40,KCA,1,3,20,11,110,98,129,5,2,24,26,20,8,0,531,199,9,4,20,10,5,0,63,56,401,559,94,24,4,15,24,10,4,73,1,1,3,0,356,4,114,40,8,27,47,0,12,126,0,2,10,10,105,105,6,5,1
20040420CLEKCA0,KCA,13,CLE,0,10,12,4,61,80,83,4,3,16,16,12,9,0,313,127,10,1,20,10,5,0,67,59,380,525,88,24,3,19,29,1,0,65,0,2,3,0,323,3,108,26,2,30,60,3,7,90,0,2,4,11,93,90,8,2,2
20040425CHATBA0,CHA,18,TBA,1,1,17,10,86,72,111,5,3,13,10,17,6,0,454,180,14,2,20,9,5,0,70,62,394,557,110,25,1,10,29,3,0,69,0,0,2,0,363,8,114,40,5,27,65,3,10,107,0,7,5,15,116,105,18,4,3
20040606MINDET0,MIN,56,DET,1,1,20,7,85,113,131,8,4,42,47,20,10,0,524,185,14,2,12,6,3,0,38,35,211,311,66,18,1,7,12,3,1,31,0,3,3,0,330,3,115,27,2,20,59,4,4,100,0,2,1,21,80,71,5,5,3
20040420BALTBA0,TBA,12,BAL,0,-8,11,5,42,51,74,3,2,17,15,11,1,0,297,129,5,0,20,5,6,0,71,63,319,476,92,23,1,17,27,2,3,51,0,2,0,0,372,4,124,25,6,17,46,7,4,107,0,3,5,17,79,65,17,5,2
20040724MONFLO0,MON,97,FLO,1,4,20,9,56,97,137,7,2,8,27,20,8,0,522,211,14,0,2,1,0,0,2,2,30,37,4,0,0,1,3,3,0,8,0,0,0,0,352,8,96,31,4,12,39,8,6,74,0,4,4,14,64,59,9,7,0
20040729ANASEA0,ANA,102,SEA,1,-1,20,12,113,77,155,9,7,58,41,20,8,0,535,179,11,2,20,7,2,0,63,60,311,451,74,18,3,12,37,11,0,43,2,4,2,0,377,5,171,34,2,14,40,3,10,102,0,7,6,18,95,103,10,2,1
20040905NYABAL0,NYA,136,BAL,1,1,20,9,96,122,139,15,11,96,81,20,3,0,525,201,9,0,20,10,5,0,65,67,368,531,79,25,5,20,33,6,1,88,2,10,1,0,354,7,109,37,1,31,74,4,11,121,0,6,6,18,99,99,12,5,0
20040903CLEANA0,CLE,136,ANA,1,-5,20,7,101,105,131,6,5,43,23,20,4,0,519,191,16,0,20,3,6,0,72,69,325,472,59,29,3,21,35,3,3,78,0,6,1,0,363,5,110,37,8,27,75,0,8,108,1,4,6,20,103,100,11,6,2
20040826TEXMIN0,TEX,126,MIN,1,5,20,11,91,94,136,3,1,14,19,20,9,0,525,213,12,3,15,3,7,0,58,57,238,369,59,10,2,18,43,14,0,52,1,2,0,0,383,8,84,46,4,24,56,6,5,98,0,4,9,12,84,81,6,2,1
20040918PHIMON0,PHI,148,MON,1,-1,20,13,121,79,131,14,9,91,63,20,9,0,540,200,8,0,20,7,9,0,55,50,368,524,70,32,4,13,32,10,6,96,0,3,0,0,350,8,116,32,6,30,53,1,9,115,0,7,7,8,99,101,16,5,1
20040705LANARI0,ARI,83,LAN,0,-1,20,5,78,102,130,6,2,18,38,20,20,0,529,223,23,3,20,4,10,0,72,52,352,526,76,20,3,8,60,7,5,84,1,10,1,0,358,5,114,31,5,10,30,3,2,102,0,7,2,17,62,71,3,1,1
20040620CHNOAK0,OAK,67,CHN,0,-2,20,12,119,84,150,2,1,5,5,20,6,0,540,224,14,1,20,8,4,0,61,58,386,553,83,25,1,12,45,7,2,104,1,3,0,0,335,6,129,42,2,23,60,5,3,88,0,3,5,12,105,85,6,4,0
20040911ATLMON0,MON,141,ATL,0,-7,20,9,81,104,143,17,4,46,111,20,19,0,555,210,19,0,20,7,9,0,54,62,431,595,85,28,0,16,46,6,5,100,0,1,1,0,333,3,99,40,2,17,52,6,5,102,0,13,6,8,77,72,6,4,0
20040617LANBAL0,BAL,62,LAN,0,-1,20,7,102,135,167,2,0,4,11,20,6,0,543,214,16,2,10,1,2,0,27,24,141,221,34,9,1,4,28,4,1,38,1,2,0,0,345,8,140,21,1,20,66,4,8,91,0,5,8,9,88,89,19,7,3
20040605KCABOS0,BOS,55,KCA,0,4,20,11,123,114,165,4,2,22,20,20,14,0,531,214,13,5,20,9,6,0,47,48,423,565,90,28,1,12,21,1,1,148,0,2,1,0,328,6,113,47,0,21,85,6,11,140,0,2,7,13,112,105,4,4,1
20040612DETFLO0,FLO,62,DET,0,-4,20,11,95,84,136,1,0,4,8,20,4,0,531,201,7,0,20,10,4,0,44,43,374,501,70,25,0,16,29,2,4,92,0,3,0,0,360,8,111,44,6,15,49,4,4,86,0,1,6,24,79,81,13,8,0
20040414COLARI0,ARI,8,COL,0,-10,7,2,34,52,41,4,2,21,23,7,4,0,192,70,4,2,20,4,4,0,63,61,329,486,102,21,0,11,28,1,2,73,2,2,0,0,357,8,89,42,7,26,73,4,5,100,0,12,7,12,92,88,3,0,0
20040420CHANYA0,NYA,14,CHA,0,3,13,6,56,61,102,4,2,14,21,13,5,0,336,144,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,12,94,37,2,26,85,5,16,96,0,0,6,20,96,99,7,3,2
20040506CINMIL0,MIL,28,CIN,0,-3,20,9,93,101,127,4,3,29,24,20,8,0,556,232,9,2,15,3,6,0,47,52,245,374,64,16,5,12,30,6,2,40,0,5,0,0,286,10,97,33,4,17,44,8,4,116,0,7,4,13,77,87,13,1,2
20040706MONATL0,ATL,83,MON,0,1,20,11,100,87,150,7,5,42,24,20,3,0,540,218,13,1,20,10,7,0,46,49,360,511,79,25,0,6,55,0,4,100,0,3,0,0,317,11,111,48,3,19,65,3,3,129,0,4,6,17,87,87,5,5,0
20040526SLNPIT0,SLN,45,PIT,1,-3,20,11,82,70,125,0,0,0,0,20,5,0,527,250,13,2,11,3,3,0,26,27,203,296,48,9,2,7,30,4,1,36,0,2,2,0,341,7,96,35,0,19,45,7,4,105,0,7,6,17,78,77,13,3,2
20040909ATLPHI0,PHI,140,ATL,0,5,20,11,111,89,128,18,8,65,78,20,6,0,528,190,8,1,20,7,8,0,71,68,374,546,88,28,2,17,37,6,3,82,0,8,0,0,322,4,107,38,6,23,64,7,4,133,0,6,11,8,93,94,17,4,0
20040922DETCLE0,DET,151,CLE,1,-1,20,8,104,114,144,18,10,130,91,20,6,0,541,224,16,1,20,8,6,0,70,70,376,541,95,24,1,22,35,1,1,86,1,3,2,0,309,7,92,32,4,32,57,1,6,141,0,4,3,10,86,88,7,4,2
20040729SDNSFN0,SDN,102,SFN,1,3,20,12,96,83,147,12,9,77,43,20,5,0,532,212,9,1,20,10,6,0,68,67,333,496,82,28,6,20,32,2,1,37,0,0,1,0,342,4,119,37,4,26,58,8,5,110,0,6,10,9,98,107,5,1,0
20040716HOUSDN0,SDN,89,HOU,0,4,20,13,82,75,146,3,2,8,9,20,2,0,534,198,10,0,20,8,6,0,39,39,338,478,75,13,2,15,41,4,3,108,1,0,0,0,323,11,108,33,1,14,54,6,7,110,0,5,7,18,72,70,7,2,0
20040616NYNCLE0,CLE,63,NYN,0,8,20,12,112,89,145,1,0,2,7,20,5,0,558,236,12,1,20,7,5,0,52,50,401,549,71,29,6,16,46,2,2,104,0,1,2,0,329,3,123,41,2,21,65,5,10,100,0,9,6,15,105,96,11,13,3
20040929PHIPIT1,PIT,157,PHI,0,-4,20,8,79,95,147,4,3,18,9,20,8,0,551,211,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,5,116,37,3,10,60,2,5,105,0,2,5,10,68,72,7,3,2
20040630ARISDN0,ARI,78,SDN,1,3,20,5,68,102,131,11,3,43,44,20,19,1,523,213,20,5,20,4,10,0,71,54,354,523,74,19,4,8,58,8,5,83,1,9,1,0,320,3,104,33,4,9,42,4,2,99,0,5,2,13,61,57,1,3,1
20040511DETOAK0,OAK,32,DET,0,1,20,8,97,104,170,0,0,0,0,20,8,0,554,218,12,3,20,8,8,0,67,58,373,531,75,26,0,13,46,5,1,88,0,3,0,0,351,7,133,30,1,26,85,2,7,143,0,1,6,10,101,101,10,5,3
20040913SEAANA0,SEA,143,ANA,1,-4,20,7,84,122,131,13,3,62,81,20,11,0,534,183,20,3,2,0,2,0,13,9,23,42,9,4,0,3,1,1,0,6,0,1,0,0,346,12,120,28,1,20,42,5,1,106,0,2,3,15,77,73,9,3,2
20040810CINLAN0,LAN,111,CIN,0,3,20,13,97,76,148,3,0,4,12,20,7,0,546,192,13,3,20,9,6,0,67,67,345,493,87,24,2,22,24,2,3,55,2,3,1,0,344,5,113,33,4,23,59,14,5,100,0,12,3,19,79,80,8,4,2
20040416CLEDET0,DET,10,CLE,0,-7,9,6,51,48,60,0,0,0,0,9,2,0,246,100,9,0,20,4,13,0,71,74,373,545,109,30,4,11,32,3,7,36,0,1,2,0,324,3,127,28,3,17,56,1,4,110,0,15,8,16,96,79,15,5,0
