gid,team,gameNumber,opp,home,spread,n,wins,scored,allowed,lob,n_vs,wins_vs,scored_vs,allowed_vs,dn,dUR,dTUR,dP,dA,dE,dPB,pn,p_W,p_L,p_SV,p_R,p_ER,p_IP,p_BF,p_S,p_D,p_T,p_HR,p_BB,p_HBP,p_IBB,p_K,p_BK,p_WP,p_PO,p_GDP,b_O,b_E,b_S,b_D,b_T,b_HR,b_BB,b_IBB,b_HBP,b_K,b_I,b_SH,b_SF,b_GDP,b_R,b_RBI,b_SB,b_CS,b_PO
20040516MILATL0,ATL,36,MIL,0,-3,20,9,93,92,145,2,2,13,6,20,13,0,522,222,20,2,6,2,3,0,17,12,96,147,24,7,0,1,16,0,2,22,0,0,0,0,247,5,70,35,7,15,37,6,0,82,0,5,3,7,68,62,2,2,0
20040616SDNTBA0,SDN,64,TBA,1,-3,20,9,85,85,147,1,0,2,5,20,12,0,536,185,18,1,20,7,7,0,64,64,327,485,78,25,6,21,31,2,0,37,0,1,3,0,370,3,135,29,3,10,57,5,6,93,0,5,8,14,84,82,9,4,1
20040518ATLARI0,ARI,38,ATL,0,2,20,8,94,95,150,0,0,0,0,20,10,0,548,224,17,1,20,8,9,0,55,51,392,543,74,27,3,16,33,5,2,150,0,2,0,0,367,4,111,36,7,23,53,14,5,106,1,8,9,10,93,91,9,5,0
20040406ARICOL0,COL,1,ARI,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,8,0,71,71,322,494,81,25,0,17,62,0,0,77,0,4,0,0,237,7,79,29,1,21,37,6,2,99,0,6,4,16,70,58,7,1,0
20040416ANAOAK0,OAK,10,ANA,0,3,9,6,44,43,64,0,0,0,0,9,7,0,243,110,4,2,20,12,4,0,39,34,425,557,79,17,2,7,27,6,6,105,0,3,0,0,315,6,99,34,3,23,70,2,5,114,0,0,4,22,97,81,8,3,1
20040627BALATL0,ATL,74,BAL,0,1,20,7,73,106,137,2,1,5,5,20,5,1,522,205,14,0,14,5,5,0,36,31,241,353,58,16,1,5,34,1,2,68,0,2,0,0,350,14,111,42,2,19,60,1,5,131,0,1,3,20,75,81,6,8,0
20040823PITARI0,ARI,126,PIT,0,1,20,5,71,123,130,3,1,14,18,20,12,0,522,214,17,0,20,4,12,0,77,85,309,485,83,24,3,23,43,7,4,74,2,3,0,0,301,2,115,27,2,13,38,1,6,99,0,6,4,17,60,61,3,5,1
20040606COLSFN0,COL,55,SFN,1,-12,20,7,103,108,144,5,1,24,27,20,3,0,527,212,7,1,20,4,6,0,70,69,334,523,107,27,2,8,43,9,5,40,0,11,1,0,301,5,94,37,5,25,57,4,5,116,0,11,4,14,90,81,7,2,0
20040629KCABAL0,KCA,74,BAL,1,1,20,8,83,106,142,1,0,1,10,20,11,1,534,189,19,3,1,0,1,0,6,6,6,16,5,3,0,1,0,0,0,3,0,1,0,0,345,10,92,23,4,13,35,5,8,90,0,5,5,15,58,64,11,3,0
20040527TBAMIN0,MIN,46,TBA,0,-1,20,11,85,106,142,2,1,5,8,20,10,0,545,193,19,0,10,5,2,0,31,29,172,256,52,18,1,5,10,2,1,29,0,3,2,0,385,6,113,31,1,25,51,4,7,126,0,4,4,20,84,83,8,12,1
20040625BOSPHI0,BOS,72,PHI,1,11,20,9,102,98,152,0,0,0,0,20,16,0,522,206,15,4,20,11,3,0,45,45,389,526,69,25,5,11,31,8,0,132,0,0,1,0,351,4,105,49,4,29,76,5,14,141,0,0,5,14,103,100,7,5,1
20040423TEXSEA0,SEA,17,TEX,0,-2,16,6,63,79,111,3,2,8,8,16,3,0,440,142,8,0,20,10,7,0,66,61,383,547,92,17,0,17,44,2,3,93,0,3,0,0,401,6,113,43,2,14,54,9,6,117,0,2,4,17,83,85,7,5,0
20040415CLEMIN0,CLE,10,MIN,1,-3,9,3,49,47,68,5,2,33,31,9,4,0,261,101,6,2,9,1,2,0,17,17,149,216,33,10,1,5,18,1,0,27,0,1,0,0,412,10,123,27,1,19,53,3,14,108,0,4,3,21,97,78,13,5,3
20040621HOUPIT0,PIT,66,HOU,0,-2,20,3,66,128,127,5,1,11,19,20,15,3,522,198,20,0,20,8,7,0,70,70,334,488,79,33,2,14,31,6,2,66,0,2,1,0,321,9,115,24,4,23,35,1,13,133,0,14,7,8,81,75,9,8,1
20040526MONATL0,MON,46,ATL,1,-5,20,10,72,71,139,2,1,3,6,20,2,0,553,218,6,0,20,7,6,0,44,48,439,597,95,19,2,13,37,5,2,122,0,2,1,0,400,6,120,26,4,19,44,7,2,75,0,18,2,13,66,65,14,5,1
20040829MONSDN0,MON,130,SDN,1,-8,20,12,105,100,141,6,1,19,21,20,7,0,538,218,11,2,13,2,5,0,40,42,183,285,49,8,3,14,26,7,7,32,0,1,3,0,303,6,90,37,3,16,54,4,3,97,0,8,4,9,80,68,16,4,0
20040415CHAKCA0,KCA,9,CHA,0,-1,8,4,42,49,58,4,1,26,33,8,3,0,213,89,5,0,20,10,5,0,63,55,384,524,92,22,3,17,26,1,0,67,0,2,2,0,359,6,117,32,4,29,58,3,7,107,0,3,9,14,110,104,14,1,2
20040430TBAOAK0,OAK,23,TBA,0,2,20,8,88,99,165,0,0,0,0,20,13,0,539,211,11,1,20,9,7,0,61,59,386,552,77,31,3,16,40,5,1,98,2,5,0,0,333,11,119,36,0,22,72,1,6,140,0,0,4,21,89,79,7,1,2
20040527SLNPIT0,PIT,42,SLN,0,-3,20,10,108,99,147,1,1,11,8,20,9,0,561,228,13,1,13,3,5,0,47,49,189,302,54,17,1,10,24,4,8,51,0,1,0,0,302,8,107,31,10,26,44,4,5,124,0,9,2,10,98,87,15,7,1
20040411KCACLE0,KCA,6,CLE,1,2,5,3,23,24,37,3,2,11,13,5,0,0,138,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,8,123,32,6,22,59,2,5,94,0,4,9,12,105,108,13,3,1
