gid,team,gameNumber,opp,home,spread,n,wins,scored,allowed,lob,n_vs,wins_vs,scored_vs,allowed_vs,dn,dUR,dTUR,dP,dA,dE,dPB,pn,pW,pL,pSV,pR,pER,pIP,pBF,pS,pD,pT,pHR,pBB,pHBP,pIBB,pK,pBK,pWP,pPO,pGDP,bO,bE,bS,bD,bT,bHR,bBB,bIBB,bHBP,bK,bI,bSH,bSF,bGDP,bR,bRBI,bSB,bCS,bPO
20140627PHIATL0,ATL,79,PHI,0,2,70,35,257,274,481,6,2,18,28,70,28,0,1908,664,45,7,46,20,13,0,100,96,893,1212,177,40,7,33,64,16,4,264,1,2,11,0,1116,12,369,98,13,70,180,13,21,559,1,13,12,52,244,234,29,11,1
20140418TBANYA0,NYA,17,TBA,0,-6,16,10,64,56,119,1,1,10,2,16,2,0,423,148,6,2,35,13,14,0,80,82,660,900,131,52,3,22,45,5,2,164,0,6,4,0,934,15,324,81,9,57,141,5,23,380,2,8,9,30,240,215,59,9,4
20140505MIANYN0,NYN,31,MIA,0,-1,30,16,128,130,210,3,2,14,10,30,7,0,833,286,16,2,29,10,10,0,69,67,527,749,134,34,3,13,55,4,1,129,0,5,0,0,946,11,325,86,10,32,183,18,19,422,0,16,11,31,227,172,68,13,6
20140703MIAPHI0,MIA,85,PHI,1,-1,70,36,302,296,488,12,6,57,47,70,29,0,1940,718,45,4,4,0,2,0,13,14,55,84,13,5,2,4,6,0,0,13,0,0,0,0,1019,17,397,109,11,62,208,23,10,538,0,6,18,57,291,276,29,6,10
20140516PHICIN0,CIN,40,PHI,0,3,39,18,143,134,278,0,0,0,0,39,3,0,1039,400,12,0,7,4,2,0,14,14,131,176,20,8,0,7,11,2,1,22,0,0,1,0,1056,17,376,98,7,47,106,7,19,346,4,15,15,53,199,225,30,15,1
20140804NYADET0,DET,109,NYA,0,-1,70,35,327,328,461,0,0,0,0,70,20,0,1872,684,44,4,54,34,6,0,122,121,1081,1433,174,69,7,32,96,7,1,407,2,12,1,0,1032,10,353,125,9,75,159,18,14,377,0,6,24,61,295,294,18,11,5
20140815MINKCA0,MIN,120,KCA,1,-1,70,30,288,300,511,12,6,51,40,70,16,0,1840,680,38,3,51,18,18,0,152,150,906,1290,218,75,8,33,72,10,2,236,0,8,2,0,1085,22,368,128,10,42,180,10,21,478,0,11,12,35,257,220,53,15,7
20140910BOSBAL0,BAL,145,BOS,0,4,70,46,315,234,439,15,9,63,46,70,13,0,1908,676,32,6,50,21,11,0,124,128,894,1243,198,73,2,39,66,5,4,223,0,5,0,0,1166,22,348,108,6,91,171,13,39,560,0,11,14,43,286,260,27,9,3
20140617PITCIN0,PIT,70,CIN,1,-1,69,34,281,292,529,7,2,23,34,69,29,0,1877,786,54,5,11,4,3,0,27,29,181,262,51,11,1,2,13,6,0,39,0,1,0,0,886,23,316,94,12,57,196,15,28,410,0,6,9,47,241,214,44,16,5
20140909SFNARI0,SFN,144,ARI,1,4,70,34,281,268,486,13,8,62,49,70,21,0,1868,724,42,3,15,6,3,0,43,46,252,348,55,18,2,10,15,1,3,82,0,0,0,0,1036,20,407,95,22,40,122,5,7,298,0,5,13,31,250,223,30,12,6
