gid,team,gameNumber,opp,home,spread,n,wins,scored,allowed,lob,n_vs,wins_vs,scored_vs,allowed_vs,dn,dUR,dTUR,dP,dA,dE,dPB,pn,p_W,p_L,p_SV,p_R,p_ER,p_IP,p_BF,p_S,p_D,p_T,p_HR,p_BB,p_HBP,p_IBB,p_K,p_BK,p_WP,p_PO,p_GDP,b_O,b_E,b_S,b_D,b_T,b_HR,b_BB,b_IBB,b_HBP,b_K,b_I,b_SH,b_SF,b_GDP,b_R,b_RBI,b_SB,b_CS,b_PO
20030424PHICOL0,COL,22,PHI,0,-8,20,12,126,99,149,2,0,6,11,20,13,0,536,219,14,0,9,3,2,0,27,28,162,239,49,12,1,4,22,2,1,21,0,2,1,0,323,6,106,42,5,24,73,5,4,135,1,5,5,15,107,102,8,3,0
20030711CHNATL0,CHN,92,ATL,1,-4,20,7,84,112,148,1,0,3,13,20,8,0,533,208,12,2,20,8,6,0,50,41,408,564,81,26,3,10,31,6,3,158,0,8,1,0,331,7,104,32,1,29,57,2,3,142,0,7,1,20,78,70,7,2,0
20030724MINKCA0,MIN,101,KCA,1,4,20,6,80,122,144,11,3,62,61,20,3,0,527,164,8,2,20,6,9,0,74,76,374,538,98,26,3,22,20,3,2,73,0,0,0,0,357,5,126,28,6,21,48,5,7,122,0,4,4,18,84,84,9,4,1
20030510TBADET0,TBA,36,DET,1,2,20,8,80,105,127,4,3,15,13,20,8,0,535,223,13,3,2,1,1,0,6,7,22,33,6,1,1,1,4,2,0,4,0,0,0,0,386,7,107,26,5,10,34,1,6,94,0,6,3,12,64,49,18,3,4
20030812MONCOL0,COL,122,MON,0,3,20,10,110,85,146,5,2,14,15,20,5,0,535,233,14,2,3,2,0,0,8,8,50,73,10,4,0,4,5,3,0,11,0,0,0,0,329,7,98,37,5,21,71,5,8,96,0,3,5,16,102,94,11,5,0
20030510ATLSFN0,SFN,35,ATL,0,-3,20,12,84,81,162,1,1,9,2,20,5,0,543,198,6,1,20,10,3,0,42,38,354,486,83,21,2,11,27,1,2,39,0,1,1,0,341,9,120,30,3,22,70,14,7,117,0,10,4,10,93,77,8,4,1
20030807TBAKCA0,KCA,113,TBA,0,-1,20,9,101,114,115,3,2,18,17,20,6,0,537,193,8,0,20,5,4,0,53,56,390,538,67,29,4,21,34,1,1,67,0,5,0,0,360,5,129,28,3,24,50,3,17,105,0,13,8,18,108,101,14,9,4
20030826ANAMIN0,ANA,132,MIN,1,-3,20,10,107,102,146,3,3,19,4,20,10,0,532,190,13,1,20,7,9,0,64,62,374,532,93,24,1,16,31,6,3,101,1,7,2,0,346,3,123,37,6,15,56,2,6,94,0,11,7,14,89,90,16,8,2
20030911NYADET0,NYA,145,DET,1,3,20,11,100,115,144,5,4,37,20,20,9,0,531,180,13,4,20,8,7,0,62,67,379,531,83,23,3,18,32,2,1,114,0,4,1,0,329,14,114,37,1,22,79,5,15,136,0,0,2,16,110,101,14,2,0
20030810COLPIT0,PIT,115,COL,0,2,20,11,109,114,150,8,5,51,52,20,11,0,533,245,14,3,11,1,5,0,44,41,179,275,41,15,0,15,21,4,4,38,0,5,0,0,251,5,86,29,4,19,60,3,4,96,0,10,2,5,73,84,3,2,0
20030810CHAOAK0,OAK,117,CHA,0,-4,20,13,95,52,140,8,5,39,28,20,8,0,528,210,8,1,4,3,0,0,4,4,81,100,18,1,0,0,9,0,0,22,0,1,1,0,363,11,110,40,2,24,57,7,7,101,0,0,6,12,101,84,5,2,2
20030701PITCIN0,PIT,79,CIN,1,-2,20,9,108,112,167,3,3,24,10,20,8,1,552,235,17,2,20,6,11,0,61,65,344,500,89,27,5,16,20,3,9,65,0,2,0,0,365,9,112,39,4,17,54,8,12,111,0,10,8,15,88,90,6,4,1
20030603SLNTOR0,TOR,59,SLN,0,-6,20,14,140,86,135,0,0,0,0,20,7,0,534,219,11,0,3,1,1,0,4,4,38,55,7,2,0,0,12,0,0,13,0,2,0,0,286,4,110,51,3,17,37,6,13,91,0,2,5,17,109,97,3,4,1
20030626ATLPHI0,ATL,76,PHI,1,-7,20,12,97,83,123,11,5,42,51,20,8,0,533,212,14,1,20,5,5,0,53,51,354,517,70,19,3,12,59,2,3,49,0,10,0,0,386,4,105,32,3,37,54,7,3,91,0,5,0,18,99,91,7,2,0
