gid,team,gameNumber,opp,home,spread,n,wins,scored,allowed,lob,n_vs,wins_vs,scored_vs,allowed_vs,dn,dUR,dTUR,dP,dA,dE,dPB,pn,p_W,p_L,p_SV,p_R,p_ER,p_IP,p_BF,p_S,p_D,p_T,p_HR,p_BB,p_HBP,p_IBB,p_K,p_BK,p_WP,p_PO,p_GDP,b_O,b_E,b_S,b_D,b_T,b_HR,b_BB,b_IBB,b_HBP,b_K,b_I,b_SH,b_SF,b_GDP,b_R,b_RBI,b_SB,b_CS,b_PO
20050828BOSDET0,DET,128,BOS,0,-8,30,14,159,173,199,9,4,55,52,30,8,0,808,328,15,0,30,6,12,0,92,88,544,775,126,30,6,25,55,7,2,117,1,7,1,0,560,7,196,49,4,19,83,5,16,144,1,10,11,26,132,125,14,5,1
20050923CHAMIN0,CHA,153,MIN,1,2,30,16,131,137,213,15,8,43,51,30,11,0,823,321,17,0,30,13,7,0,81,79,563,796,110,29,3,22,72,9,2,136,2,19,4,0,572,5,169,60,6,35,72,4,15,190,0,9,6,18,123,120,9,10,3
20050411ATLWAS0,ATL,7,WAS,1,9,6,4,16,22,43,0,0,0,0,6,1,0,171,72,3,1,30,13,9,0,76,83,535,784,154,34,2,15,65,1,3,89,2,3,2,0,468,12,128,47,4,27,71,6,8,173,0,9,8,23,106,98,14,6,1
20050601KCANYA0,KCA,52,NYA,1,2,30,9,136,172,183,1,1,5,3,30,7,0,768,281,16,0,3,0,1,0,7,8,53,75,15,2,1,1,5,1,0,5,0,0,0,0,509,16,170,46,8,21,57,9,11,167,0,13,7,21,120,104,11,11,3
20050710ARICIN0,CIN,89,ARI,0,-2,30,12,152,179,211,2,2,10,5,30,12,0,777,293,21,3,30,7,13,0,120,119,513,769,102,43,5,45,56,4,2,115,0,7,0,0,474,8,186,49,5,48,77,3,8,214,0,10,6,25,156,168,4,2,4
20050807SLNATL0,SLN,111,ATL,1,2,30,19,149,111,203,5,2,21,21,30,9,0,826,388,13,2,30,20,5,0,58,53,633,824,116,36,2,12,44,3,0,196,0,4,3,0,475,13,167,42,5,28,68,14,9,140,0,19,4,19,123,107,8,7,1
20050429BALTBA0,BAL,22,TBA,1,5,21,14,125,104,154,3,2,19,19,21,4,0,561,219,13,2,30,7,11,0,86,80,471,717,122,35,3,14,74,8,1,136,3,7,0,0,545,11,190,59,7,41,76,5,13,184,0,8,12,25,158,156,24,4,0
20050611ATLOAK0,OAK,61,ATL,0,-2,30,10,140,161,215,1,1,6,4,30,17,1,773,292,23,0,15,4,4,0,35,40,224,335,55,18,3,5,31,9,1,23,0,0,1,0,469,8,146,38,4,18,70,2,2,130,0,3,3,15,99,101,4,2,1
20050729HOUNYN0,HOU,104,NYN,1,3,30,22,164,91,209,7,3,21,22,30,17,0,814,300,19,2,11,5,4,0,40,43,188,278,41,18,2,10,26,2,1,49,3,1,0,0,480,14,175,57,5,33,66,9,17,167,0,10,8,21,151,129,27,11,2
20050413CLECHA0,CLE,8,CHA,1,-1,7,3,27,32,47,4,1,15,12,7,4,0,187,76,10,0,30,12,8,0,101,104,482,724,101,38,4,31,68,8,1,150,0,6,0,0,424,6,129,39,8,26,70,9,10,170,0,1,5,13,100,110,8,4,1
20050720ARIFLO0,ARI,97,FLO,1,-7,30,11,116,159,226,2,1,11,13,30,20,5,789,345,20,3,30,11,9,0,86,76,577,828,143,35,4,15,68,3,5,153,1,13,3,0,498,9,156,47,3,32,110,2,11,199,0,13,8,17,111,106,6,1,1
20050730HOUNYN0,HOU,105,NYN,1,2,30,22,158,88,206,8,4,26,24,30,15,0,814,305,19,2,30,10,10,0,70,64,559,762,117,38,3,16,46,1,1,149,0,5,3,0,508,12,182,58,5,33,75,11,15,163,0,26,8,23,150,132,31,10,2
20050625COLKCA0,KCA,73,COL,0,-2,30,13,146,174,216,1,0,4,12,30,12,0,790,298,22,0,15,5,7,0,47,47,275,397,58,21,3,8,42,2,0,55,0,4,1,0,413,8,182,37,8,13,48,5,8,144,0,6,6,15,113,93,12,5,4
20050815ANATOR0,ANA,118,TOR,1,1,30,16,143,118,208,3,0,3,13,30,13,0,828,291,20,2,13,6,5,0,40,37,216,321,43,16,3,13,31,5,1,58,0,3,0,0,564,9,201,51,5,30,75,8,8,153,2,9,7,27,136,151,38,11,5
20050821HOUMIL0,HOU,125,MIL,1,5,30,18,128,95,221,8,5,34,29,30,6,0,813,321,15,0,30,12,11,0,66,61,592,791,120,38,3,17,41,1,0,152,0,3,1,0,531,13,180,45,5,19,69,7,13,169,0,21,7,21,113,92,25,6,1
20050523SLNPIT0,PIT,42,SLN,0,-2,30,15,126,119,194,2,0,2,18,30,8,0,795,329,13,3,13,6,6,0,32,31,219,303,37,16,2,9,21,5,2,57,0,0,1,0,497,16,147,46,14,35,62,7,6,168,0,8,7,25,127,120,15,7,1
20050505TBANYA0,TBA,29,NYA,1,4,28,10,135,178,192,5,3,38,39,28,16,0,729,233,25,2,30,9,14,0,96,92,542,789,142,43,4,19,45,5,4,88,2,4,0,0,483,5,194,52,8,13,45,5,12,181,0,9,8,18,122,116,26,6,1
20050814BALTOR0,BAL,117,TOR,1,-1,30,11,111,159,225,12,6,47,52,30,13,0,792,295,20,3,30,11,12,0,79,75,526,763,128,36,2,13,70,5,0,160,2,6,0,0,586,9,192,51,2,35,78,5,7,172,0,3,6,22,117,123,12,5,1
20050913CHNCIN0,CIN,145,CHN,0,-1,30,16,146,139,222,13,8,87,76,30,7,3,804,291,16,1,30,7,14,0,121,122,497,764,119,53,4,39,45,4,2,111,0,7,0,0,430,4,139,40,3,27,87,7,12,201,0,6,4,19,114,92,19,6,6
20050813SDNPHI0,PHI,117,SDN,0,3,30,18,141,127,231,4,4,18,9,30,15,0,816,305,17,1,30,9,14,0,90,88,481,714,91,48,2,26,56,13,10,112,0,1,1,0,512,15,149,58,10,26,94,19,9,195,0,7,10,17,130,132,25,9,3
20050924CHNHOU0,HOU,156,CHN,0,5,30,18,127,105,211,10,4,45,37,30,5,0,798,316,12,1,13,2,6,0,47,43,195,299,44,20,2,19,20,0,1,56,1,4,1,0,495,13,159,42,5,35,82,9,10,173,0,2,8,24,126,119,11,3,0
20050423NYNWAS0,WAS,18,NYN,0,-5,17,9,68,81,110,1,0,1,3,17,4,0,450,166,11,1,18,4,9,0,49,41,305,442,72,25,2,14,30,1,2,44,0,4,0,0,381,7,115,44,5,21,58,7,7,135,0,7,5,19,82,86,4,6,0
20050504HOUPIT0,PIT,26,HOU,0,2,25,9,79,130,177,4,3,15,15,25,8,0,664,237,16,5,30,10,12,0,98,92,535,773,125,43,1,24,63,3,5,98,0,7,1,0,477,5,152,43,8,15,77,4,12,179,0,6,4,24,87,78,14,5,0
20050805ANATBA0,ANA,109,TBA,1,1,30,15,121,125,198,0,0,0,0,30,10,0,820,283,18,2,30,13,10,0,94,86,578,809,135,45,8,23,28,7,1,112,0,2,1,0,604,12,201,44,5,20,71,13,8,121,0,9,3,25,117,120,37,10,5
20050618SEANYN0,NYN,68,SEA,0,-3,30,14,119,116,214,1,0,0,5,30,12,1,800,317,25,1,30,15,7,0,79,78,625,823,94,31,6,21,51,9,0,237,0,6,1,0,525,12,140,57,8,27,78,12,7,187,0,3,6,25,118,112,20,4,0
20050426SLNMIL0,SLN,18,MIL,1,2,17,12,83,64,108,3,3,11,5,17,7,0,459,209,8,2,30,15,9,0,88,84,546,793,127,43,2,22,64,6,1,102,1,5,0,0,531,12,139,46,3,33,87,9,10,152,0,8,7,20,131,107,10,4,1
20050510TORKCA0,TOR,34,KCA,1,2,30,15,142,139,220,1,1,6,1,30,10,1,802,323,16,2,28,12,10,0,84,84,556,772,145,25,0,19,44,4,3,131,3,3,0,0,517,11,170,49,9,20,72,6,17,176,0,2,12,22,136,104,15,6,0
20050920MILCHN0,MIL,150,CHN,1,2,30,16,133,112,204,13,7,60,53,30,8,0,809,263,19,1,30,8,10,0,84,85,569,806,103,39,2,23,77,2,5,171,2,3,3,0,508,10,162,56,4,29,72,12,12,203,0,7,6,14,122,116,9,8,2
20050618TBASLN0,TBA,68,SLN,1,-3,30,9,141,188,185,1,0,4,6,30,24,0,789,257,29,1,30,8,13,0,109,102,522,766,142,44,7,20,40,5,3,89,3,2,0,0,461,7,153,49,5,20,64,3,10,157,0,3,6,13,120,104,26,4,4
20050530PITFLO0,FLO,48,PIT,0,-1,30,17,134,130,214,0,0,0,0,30,7,4,783,296,15,1,30,10,11,0,85,84,500,739,92,37,1,17,92,12,6,111,1,0,0,0,471,4,154,59,7,19,79,6,12,171,1,11,4,23,119,98,14,6,4
20050506BALKCA0,KCA,29,BAL,0,-2,28,7,100,151,182,0,0,0,0,28,14,0,742,295,26,2,10,2,5,0,31,35,172,252,46,14,0,3,20,3,1,41,2,4,0,0,501,10,154,44,8,24,70,3,12,175,0,8,5,16,104,96,6,11,4
20050413CHNSDN2,SDN,9,CHN,0,-5,8,5,50,33,64,2,2,9,3,8,7,0,224,84,8,0,30,13,13,0,81,81,554,780,127,44,3,22,37,7,7,109,0,2,0,0,508,9,170,46,7,37,106,7,10,160,0,11,16,17,144,136,9,3,1
20050607NYNHOU0,NYN,58,HOU,1,2,30,17,137,110,211,3,3,13,7,30,8,1,794,292,21,0,30,15,7,0,80,79,616,817,93,32,5,22,50,11,0,230,0,6,1,0,525,11,149,53,9,30,73,4,7,172,0,5,7,17,130,119,24,6,1
20050722NYNLAN0,NYN,96,LAN,1,-1,30,17,144,123,187,0,0,0,0,30,9,0,803,301,24,2,30,10,11,0,75,71,532,801,107,38,3,8,104,15,2,123,1,8,0,0,548,14,159,46,6,30,65,4,10,155,0,10,10,13,126,119,28,7,4
20050810KCACLE0,CLE,114,KCA,0,5,30,15,144,147,220,10,5,54,40,30,17,0,785,291,20,1,30,11,13,0,101,103,555,797,123,39,1,23,66,9,2,140,1,5,0,0,467,5,187,72,5,37,86,3,9,200,0,7,10,24,149,160,7,5,2
20050929NYNCOL0,NYN,159,COL,1,11,30,12,103,120,209,3,1,15,12,30,7,1,797,303,19,1,30,12,12,0,81,77,578,823,153,42,5,12,48,3,5,86,0,1,0,0,530,12,154,42,5,33,71,11,11,171,0,13,3,19,111,107,22,8,1
20050504MINCLE0,CLE,26,MIN,0,1,25,10,95,109,172,4,2,12,12,25,12,0,669,257,21,0,30,9,9,0,93,90,520,766,118,51,3,16,55,8,5,147,0,4,0,0,494,12,142,39,8,34,80,5,16,165,0,3,3,13,118,115,14,5,3
20050721TEXOAK0,OAK,95,TEX,0,2,30,22,164,99,227,9,4,44,49,30,11,0,836,331,15,0,18,5,8,0,55,54,314,443,59,23,2,15,36,3,0,52,1,1,1,0,611,12,188,64,2,31,96,2,7,137,0,5,10,31,151,141,9,6,1
20050421SLNCHN0,SLN,14,CHN,1,4,13,8,62,52,81,1,0,1,3,13,6,0,348,161,6,2,30,16,6,0,79,77,579,794,124,32,2,23,40,8,2,158,0,5,0,0,523,14,142,47,2,35,85,9,12,160,0,9,7,23,129,106,14,4,3
20050614BALHOU0,BAL,64,HOU,1,5,30,15,152,145,195,1,1,8,5,30,13,0,782,326,11,0,19,6,5,0,51,47,366,500,74,17,4,16,35,1,0,83,1,1,0,0,541,11,182,62,6,34,74,11,6,156,0,8,8,33,138,128,10,6,5
20050428TORTBA0,TBA,22,TOR,0,-3,21,8,98,134,148,5,1,20,31,21,10,0,552,176,20,2,15,5,7,0,55,52,226,334,39,15,2,22,33,4,1,39,1,1,1,0,479,5,170,48,9,15,52,4,9,180,0,11,12,18,116,113,21,5,1
20050814FLOSFN0,FLO,117,SFN,1,3,30,16,141,122,212,5,3,27,15,30,11,0,795,321,21,3,30,15,7,0,70,69,615,829,119,29,4,11,73,8,1,194,0,11,2,0,505,11,158,54,5,32,65,18,20,181,0,17,13,21,131,129,23,8,4
20050421DETCHA0,CHA,16,DET,0,1,15,11,67,54,73,1,1,9,1,15,3,0,408,169,10,1,30,16,10,0,93,87,659,888,149,32,4,27,41,6,2,147,0,0,5,0,574,12,167,50,2,40,61,4,6,167,1,8,12,21,134,132,34,13,4
20050921COLSDN0,SDN,151,COL,0,3,30,16,127,144,224,16,10,89,86,30,22,0,814,271,35,3,30,14,7,0,68,65,598,795,94,37,7,18,46,6,3,225,1,2,3,0,545,8,186,42,6,21,88,7,8,134,0,8,9,18,103,113,11,5,3
20050415BOSTBA0,TBA,10,BOS,0,-10,9,4,47,45,63,0,0,0,0,9,3,0,246,77,7,1,19,5,11,0,70,78,270,414,64,22,0,20,43,4,1,58,0,3,3,0,443,7,156,51,8,26,56,7,7,185,0,2,10,21,126,125,26,2,1
20050415NYNFLO0,FLO,10,NYN,0,-4,9,5,44,15,62,0,0,0,0,9,2,0,258,125,5,0,28,11,9,0,72,66,515,708,88,35,5,16,55,6,3,169,0,7,1,0,535,11,173,47,4,27,80,7,18,154,0,16,11,21,130,128,15,9,2
20050823LANCOL0,COL,125,LAN,0,-5,30,14,136,159,216,10,4,51,48,30,3,0,810,336,12,4,30,6,15,0,114,107,531,811,130,52,2,25,78,12,5,98,2,3,7,0,474,7,180,43,2,29,64,4,18,172,1,17,6,21,114,105,8,9,0
20050827LANHOU0,HOU,130,LAN,0,-5,30,17,117,102,223,4,4,15,10,30,6,0,795,326,16,1,30,17,11,0,69,65,634,865,145,38,7,15,38,8,4,149,1,4,1,0,508,13,175,49,5,26,83,8,15,194,0,13,4,19,119,100,19,3,0
20050709KCAMIN0,KCA,86,MIN,1,4,30,12,132,162,205,10,2,47,57,30,10,0,780,324,22,1,5,1,3,0,17,21,73,114,19,8,0,3,14,3,0,16,0,1,0,0,555,6,205,50,8,18,64,4,13,165,0,6,7,21,129,122,10,1,4
20050705ARISLN0,ARI,85,SLN,1,-6,30,11,150,196,222,1,0,3,10,30,19,5,792,340,22,1,30,12,10,0,100,105,546,795,129,33,9,29,76,5,0,100,0,8,0,0,511,9,159,55,4,38,92,4,11,195,0,10,7,22,139,122,6,2,0
20050928LANARI0,ARI,158,LAN,0,1,30,15,124,155,233,16,11,80,70,30,5,0,838,333,12,1,30,10,12,0,95,103,538,787,127,37,8,26,78,6,0,94,0,8,0,0,494,10,138,47,8,41,105,8,10,201,0,8,6,23,127,108,13,5,1
20050615CHNFLO0,CHN,64,FLO,1,-10,30,19,147,112,205,2,1,15,9,30,6,0,804,343,14,1,30,15,8,0,85,82,580,781,129,28,2,29,27,5,2,131,0,5,0,0,543,8,191,63,4,39,56,7,6,149,0,12,6,19,128,143,17,8,1
20050716CINCOL0,CIN,91,COL,1,1,30,12,139,175,210,4,1,19,30,30,12,0,774,289,21,3,30,6,14,0,118,116,518,770,103,41,5,44,54,4,2,119,0,7,0,0,481,8,180,51,5,44,83,4,8,210,0,9,5,23,149,154,5,2,3
20050726HOUPHI0,PHI,101,HOU,0,-1,30,14,139,147,231,1,0,1,7,30,9,0,813,302,13,2,30,15,10,0,98,91,562,800,150,34,1,31,31,2,2,123,0,5,0,0,506,6,163,43,7,32,85,12,5,203,0,4,8,25,129,132,29,5,1
20050516CHATEX0,TEX,39,CHA,0,1,30,17,153,133,186,0,0,0,0,30,5,0,804,301,12,2,23,7,8,0,80,79,406,609,89,25,4,26,56,16,0,96,1,2,1,0,542,14,160,58,6,38,84,1,16,191,0,1,8,17,155,139,11,3,3
20050511MILPHI0,PHI,35,MIL,0,-3,30,14,116,139,219,2,1,9,10,30,6,0,771,285,11,0,30,11,10,0,101,98,542,792,131,44,5,20,51,8,4,107,0,6,0,0,500,9,167,42,3,30,84,5,10,202,0,15,5,19,119,124,17,2,4
20050731FLOWAS0,FLO,102,WAS,1,-2,30,16,152,149,214,10,6,49,29,30,13,0,817,304,20,1,18,6,7,0,46,44,325,465,91,27,1,9,22,2,6,56,0,0,0,0,488,10,191,52,6,27,73,10,10,142,0,10,9,24,132,120,25,6,1
20050630DETCHA0,DET,75,CHA,1,-5,30,16,140,133,195,7,1,14,33,30,18,1,804,341,27,1,30,10,14,0,89,86,582,829,155,32,9,22,47,6,2,103,1,11,1,0,499,13,187,46,7,24,60,5,9,144,0,6,7,20,124,123,20,3,1
20050527CLEOAK0,CLE,47,OAK,1,3,30,15,118,123,205,0,0,0,0,30,12,0,807,325,25,2,30,14,9,0,104,104,482,709,101,38,3,31,56,7,1,140,0,4,0,0,533,9,145,41,6,37,78,2,14,193,0,5,4,29,104,110,6,7,2
20050730LANSLN0,SLN,103,LAN,0,5,30,19,141,94,196,5,3,36,24,30,9,0,823,386,11,4,30,16,10,0,91,84,537,784,128,41,3,24,58,9,0,92,1,7,0,0,444,12,158,35,4,27,65,10,8,130,0,14,4,18,107,107,7,5,0
20050809TORDET0,TOR,112,DET,1,2,30,15,168,142,235,1,0,8,9,30,8,0,838,303,21,2,2,0,0,0,5,5,30,42,4,1,0,1,6,1,0,8,0,1,0,0,566,12,208,68,8,29,95,6,12,177,0,3,11,22,173,156,4,9,1
20050611COLDET0,DET,59,COL,0,2,30,15,114,135,191,1,0,0,2,30,24,1,804,322,26,1,30,12,11,0,81,86,564,798,109,34,6,21,56,8,3,169,0,7,2,0,465,6,159,46,8,21,47,5,8,146,0,2,4,21,107,91,13,7,2
20050709PITNYN0,NYN,87,PIT,0,-7,30,14,128,137,193,1,0,5,6,30,10,0,805,302,27,2,30,7,12,0,101,102,487,709,86,36,6,25,78,5,3,102,0,2,0,0,510,12,160,56,4,24,64,3,11,210,0,16,10,9,119,111,28,8,2
20050818SLNARI0,ARI,122,SLN,0,7,30,12,129,158,234,6,1,9,33,30,20,0,787,290,30,3,29,10,10,0,84,81,443,652,79,38,3,29,53,7,10,113,0,6,0,0,512,9,171,44,5,44,88,13,12,176,0,14,7,25,124,122,20,3,2
20050524SFNLAN0,LAN,44,SFN,0,-2,30,12,126,160,232,5,4,31,17,30,8,0,792,344,17,3,30,13,9,0,89,92,585,833,131,47,4,20,43,11,8,122,0,6,1,0,452,7,172,53,2,25,76,4,13,155,0,11,8,18,115,118,7,8,1
20050618CHALAN0,LAN,67,CHA,0,-2,30,12,122,149,209,1,0,0,6,30,8,0,792,340,14,3,12,1,5,0,36,41,162,256,49,16,2,8,20,0,2,30,0,1,2,0,432,9,146,35,4,37,65,5,11,158,0,2,5,19,115,118,7,3,0
20050824TEXSEA0,TEX,125,SEA,1,7,30,10,156,187,216,10,6,52,47,30,16,1,784,270,24,2,6,1,3,0,17,17,106,155,32,7,0,4,7,2,0,29,2,1,0,0,558,9,174,61,2,49,100,3,5,190,0,3,6,22,153,149,12,3,1
20050430NYATOR0,NYA,24,TOR,1,1,23,9,119,126,195,3,2,15,7,23,19,2,606,231,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,11,176,51,3,37,112,5,15,187,0,6,12,20,142,140,17,9,1
20050418PHINYN0,NYN,13,PHI,0,-1,12,6,45,47,79,0,0,0,0,12,2,0,315,107,6,1,30,11,8,0,81,83,507,728,88,30,6,18,94,5,1,103,0,2,0,0,492,12,150,47,6,21,75,7,9,187,0,12,6,19,105,91,30,7,2
20050728LANCIN0,CIN,103,LAN,0,5,30,14,150,171,208,6,2,31,42,30,12,0,777,289,21,3,30,6,16,0,102,92,452,697,114,37,2,27,59,5,5,105,0,5,0,0,490,9,167,48,3,40,103,7,7,193,0,8,7,22,158,128,27,4,5
20050917MINCHA0,CHA,147,MIN,0,-5,30,15,128,131,207,12,7,40,41,30,15,0,835,323,22,0,30,13,10,0,92,92,523,760,105,41,5,22,66,17,1,126,2,6,2,0,573,4,162,58,7,43,72,4,15,173,0,7,6,22,125,125,14,6,1
20050906CHAKCA0,CHA,137,KCA,1,1,30,16,120,114,184,12,10,67,43,30,17,0,822,327,19,1,30,14,9,0,88,88,537,778,112,40,4,20,67,17,1,135,1,6,2,0,557,6,189,51,7,42,60,4,17,185,0,8,7,21,143,135,23,20,3
20050929SDNSFN0,SFN,159,SDN,0,-1,30,18,112,113,191,17,6,70,96,30,10,0,801,267,15,0,30,12,13,0,76,78,561,800,126,28,5,18,68,6,1,157,0,2,0,0,439,4,134,40,6,12,48,2,6,113,0,17,11,20,78,84,9,3,0
20050829BALOAK0,OAK,130,BAL,0,5,30,19,155,88,204,9,5,48,27,30,7,1,818,315,10,0,26,11,6,0,59,66,438,623,111,27,3,13,45,11,4,46,0,1,1,0,589,12,190,49,4,35,98,4,8,135,0,3,12,26,152,163,5,4,1
20050405SFNLAN0,SFN,1,LAN,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,5,0,71,71,642,862,101,31,6,17,70,3,3,246,1,4,2,0,534,8,197,66,4,35,103,5,7,147,0,19,9,18,155,159,10,4,3
20050501OAKSEA0,SEA,25,OAK,0,-1,24,12,108,101,158,4,2,16,17,24,9,0,638,228,13,1,24,8,12,0,88,86,482,683,105,31,3,27,49,4,1,124,0,5,0,0,528,12,187,54,2,23,88,10,6,192,0,8,5,25,140,125,24,7,0
20050417CHASEA0,CHA,12,SEA,1,-1,11,8,46,43,58,2,2,8,5,11,2,0,300,112,7,1,30,14,11,0,82,87,612,848,113,46,1,21,63,7,2,176,1,9,1,0,547,10,148,51,2,37,44,5,11,140,0,10,13,27,113,134,9,8,2
20050613TEXATL0,TEX,62,ATL,1,4,30,17,175,128,195,0,0,0,0,30,4,0,787,302,12,1,19,8,5,0,45,43,321,456,75,17,2,11,26,4,1,84,0,2,1,0,530,3,170,63,7,56,88,5,12,200,0,1,6,12,182,180,8,4,3
20050622SDNLAN0,SDN,72,LAN,1,-2,30,15,124,123,222,7,3,13,23,30,8,0,804,277,12,0,7,1,2,0,18,19,125,177,25,12,1,3,15,2,0,26,0,0,0,0,494,10,161,43,7,20,91,7,8,144,0,6,4,23,106,96,18,6,6
20050920CHACLE0,CHA,150,CLE,1,1,30,16,129,127,203,14,10,63,55,30,13,0,811,315,21,0,30,15,8,0,86,77,648,891,166,41,2,17,31,4,4,132,2,1,3,0,565,5,164,57,6,37,73,3,14,200,0,9,6,18,125,119,10,11,3
20050528SLNWAS0,WAS,49,SLN,0,-2,30,15,120,122,222,1,0,3,6,30,7,0,805,292,18,1,30,7,8,0,101,100,568,826,142,44,2,24,60,4,5,130,0,6,0,0,467,9,138,51,2,21,57,11,19,159,0,5,9,21,99,95,8,7,1
20050424SEACLE0,SEA,19,CLE,1,8,18,8,77,79,107,2,0,3,11,18,9,0,477,177,11,1,30,9,10,0,109,100,537,797,131,33,1,36,51,9,1,118,0,2,0,0,525,11,201,54,1,23,74,13,7,184,0,7,4,26,153,131,20,12,1
