gid,team,gameNumber,opp,home,spread,n,wins,scored,allowed,lob,n_vs,wins_vs,scored_vs,allowed_vs,dn,dUR,dTUR,dP,dA,dE,dPB,pn,p_W,p_L,p_SV,p_R,p_ER,p_IP,p_BF,p_S,p_D,p_T,p_HR,p_BB,p_HBP,p_IBB,p_K,p_BK,p_WP,p_PO,p_GDP,b_O,b_E,b_S,b_D,b_T,b_HR,b_BB,b_IBB,b_HBP,b_K,b_I,b_SH,b_SF,b_GDP,b_R,b_RBI,b_SB,b_CS,b_PO
20050819TBATEX0,TEX,121,TBA,0,-1,30,10,164,197,220,5,2,40,36,30,15,1,793,280,22,2,5,1,2,0,15,15,90,129,24,6,0,4,6,2,0,24,2,1,0,0,551,10,178,60,3,49,107,2,8,194,0,2,7,23,163,160,14,5,1
20050407SDNPIT0,PIT,3,SDN,0,-1,2,0,4,19,15,0,0,0,0,2,1,0,54,16,2,0,30,10,12,0,103,95,537,779,129,43,3,27,60,5,6,96,0,6,2,0,408,7,118,36,6,21,82,5,13,172,0,2,5,23,95,81,11,5,3
20050411NYNHOU0,HOU,6,NYN,0,-4,5,4,19,15,41,0,0,0,0,5,0,0,135,60,2,0,16,6,4,0,38,37,267,367,45,21,0,9,29,0,2,82,0,5,2,0,380,11,132,34,3,25,59,7,5,129,0,9,7,20,93,91,14,6,1
20050922MILCHN0,CHN,153,MIL,0,3,30,14,130,123,215,15,6,62,72,30,7,0,803,315,14,2,30,12,12,0,87,89,578,800,131,47,2,22,30,7,2,117,0,7,0,0,524,11,170,58,7,40,71,15,5,140,1,16,7,23,119,115,11,6,3
20050715NYNATL0,NYN,90,ATL,1,-1,30,14,128,146,185,10,3,34,44,30,11,0,802,296,26,2,30,10,13,0,103,100,517,796,158,41,3,18,69,2,7,81,0,1,0,0,551,11,157,50,4,24,69,3,9,182,0,11,9,9,117,101,28,8,3
20050505SLNSDN0,SLN,27,SDN,1,-5,26,18,127,98,192,0,0,0,0,26,11,0,696,305,14,2,30,14,8,0,96,93,555,778,127,36,2,27,43,5,3,134,1,2,2,0,532,12,150,53,3,30,86,10,11,168,0,12,6,13,131,115,8,4,1
20050726KCACHA0,KCA,100,CHA,1,6,30,11,120,167,183,10,0,30,61,30,13,0,763,315,28,1,30,7,10,0,117,109,511,750,127,41,2,36,40,5,3,89,0,2,1,0,437,6,149,53,5,17,47,4,11,141,0,6,8,25,100,100,10,1,4
20050628COLHOU0,COL,75,HOU,1,1,30,12,136,171,217,4,0,12,30,30,17,1,783,296,29,6,30,7,13,0,108,108,562,852,148,46,2,18,90,8,6,123,0,10,0,0,440,7,166,52,5,14,66,9,7,180,0,16,7,17,104,96,11,6,2
20050709SFNSLN0,SFN,86,SLN,1,2,30,12,148,163,192,1,0,1,3,30,7,0,798,301,17,2,12,4,4,0,39,37,175,276,44,21,0,9,27,0,1,40,1,2,0,0,514,14,188,52,2,14,80,4,7,145,0,11,8,23,128,102,12,10,1
20050912PHIATL0,ATL,144,PHI,0,-3,30,18,152,141,202,12,7,63,40,30,6,0,837,332,14,3,30,13,8,0,80,79,604,855,139,46,5,20,55,8,5,123,0,3,2,0,515,13,161,60,7,38,80,12,10,171,0,8,9,26,147,152,18,3,0
20050607CINTBA0,CIN,57,TBA,1,2,30,11,147,175,217,0,0,0,0,30,11,0,807,305,16,1,22,5,9,0,68,73,366,534,101,32,4,20,36,5,1,73,2,6,6,0,474,9,152,68,2,40,107,4,14,189,0,2,4,22,144,138,21,8,1
20050917HOUMIL0,HOU,149,MIL,1,7,30,16,121,105,199,13,8,57,49,30,3,0,804,339,12,1,30,12,10,0,85,92,502,740,118,36,4,23,73,2,3,119,2,5,3,0,495,8,156,50,8,28,67,10,9,163,0,8,4,21,111,111,8,3,0
20050930CLECHA0,CLE,160,CHA,1,-1,30,21,164,93,204,16,5,69,70,30,13,0,799,306,21,3,30,9,11,0,71,61,561,784,122,36,3,20,52,4,1,140,0,2,0,0,507,12,163,60,3,50,101,7,11,195,0,16,10,25,164,149,8,5,3
20050909PHIFLO0,FLO,141,PHI,0,-7,30,18,126,119,208,13,7,66,70,30,9,0,798,294,16,2,30,14,9,0,76,71,603,829,132,25,6,11,71,8,1,185,0,11,3,0,492,11,176,45,8,19,80,14,14,182,0,19,11,22,120,109,14,7,1
20050516LANFLO0,FLO,35,LAN,0,4,30,17,131,102,203,0,0,0,0,30,8,4,782,317,19,1,4,1,1,0,6,5,68,93,16,1,0,3,8,1,0,16,0,0,0,0,480,5,165,55,6,26,71,6,17,152,1,2,11,20,119,136,14,10,2
20050418ANASEA0,SEA,13,ANA,0,-5,12,6,61,50,59,0,0,0,0,12,8,0,318,123,7,0,26,10,4,0,76,73,401,591,115,25,4,14,49,5,2,47,2,4,1,0,506,10,200,51,1,26,72,19,7,173,0,6,5,24,154,140,20,13,1
20050427CLEDET0,DET,19,CLE,0,7,18,8,102,87,114,3,1,20,12,18,5,0,475,196,13,0,30,10,14,0,81,89,525,748,108,28,4,19,61,6,4,156,0,7,2,0,533,15,198,46,15,30,69,6,8,174,0,9,7,30,156,135,17,4,2
