gid,team,gameNumber,opp,home,spread,n,wins,scored,allowed,lob,n_vs,wins_vs,scored_vs,allowed_vs,dn,dUR,dTUR,dP,dA,dE,dPB,pn,pW,pL,pSV,pR,pER,pIP,pBF,pS,pD,pT,pHR,pBB,pHBP,pIBB,pK,pBK,pWP,pPO,pGDP,bO,bE,bS,bD,bT,bHR,bBB,bIBB,bHBP,bK,bI,bSH,bSF,bGDP,bR,bRBI,bSB,bCS,bPO
20100920OAKCHA0,CHA,150,OAK,0,-3,20,9,85,113,164,6,3,23,25,20,10,0,546,196,19,1,20,8,8,0,48,46,387,534,99,22,0,8,34,3,4,103,1,6,1,0,293,9,100,27,6,26,63,1,10,135,0,5,2,15,86,83,14,5,2
20100521CHAFLO0,CHA,41,FLO,1,8,20,8,89,97,134,0,0,0,0,20,6,0,531,207,12,0,20,4,11,0,68,66,372,532,105,32,1,16,28,1,2,46,0,3,7,0,398,8,109,32,0,21,63,6,7,90,0,3,4,14,87,80,22,10,2
20100723MILWAS0,WAS,97,MIL,0,-2,20,9,81,90,147,3,2,20,14,20,4,1,522,183,10,0,20,3,5,0,64,64,332,479,70,32,6,14,30,1,4,57,0,2,2,0,310,6,117,27,2,20,54,4,10,152,0,7,5,16,71,77,15,5,3
20100803BALANA0,ANA,108,BAL,0,-3,20,8,78,90,124,0,0,0,0,20,5,0,525,175,9,1,5,1,2,0,22,22,55,98,29,6,1,3,9,0,1,11,0,1,0,0,362,10,98,27,2,19,42,4,9,81,1,3,7,14,66,71,9,5,1
20100417MINKCA0,KCA,11,MIN,0,-1,10,4,48,60,76,1,0,3,10,10,4,0,270,83,6,0,20,5,10,0,75,72,315,497,75,30,5,18,57,3,0,74,0,5,0,0,348,6,156,31,7,20,47,2,12,122,0,4,4,16,94,85,19,4,3
20100424TEXDET0,TEX,17,DET,1,-4,16,7,67,65,97,1,1,5,4,16,7,0,424,143,10,2,20,11,7,0,47,54,349,495,90,21,1,9,38,5,0,77,0,3,2,0,274,5,91,29,4,15,47,2,5,130,0,9,4,10,71,73,21,4,2
20100926ARILAN0,LAN,156,ARI,0,-1,20,6,50,86,122,14,11,82,52,20,5,0,528,188,10,0,20,6,9,0,48,51,377,543,91,19,5,5,42,7,4,105,0,3,1,0,298,6,83,21,3,11,43,4,5,150,0,5,1,15,53,40,10,2,0
20100913KCAOAK0,KCA,143,OAK,1,-2,20,6,81,123,164,6,1,18,32,20,8,0,537,208,20,4,20,6,10,0,82,82,345,508,81,27,9,12,46,5,0,84,0,1,0,0,271,3,90,20,0,16,42,4,3,96,0,1,3,15,59,61,7,1,0
20100622ANALAN0,ANA,73,LAN,1,3,20,14,110,85,142,3,3,20,8,20,6,0,528,185,8,3,20,7,6,0,58,54,398,572,89,26,2,21,36,8,1,105,0,4,1,0,335,9,121,39,1,24,54,2,5,133,1,5,6,18,89,106,11,7,4
20100605ARICOL0,COL,55,ARI,0,-1,20,12,88,70,133,7,4,50,32,20,8,0,536,214,8,1,7,3,4,0,17,19,117,168,20,8,0,2,21,2,0,35,0,1,0,0,317,2,87,24,6,24,57,8,7,133,0,4,6,15,72,80,5,1,1
20100609LANSLN0,SLN,60,LAN,0,-1,20,11,99,77,146,2,0,4,13,20,4,0,551,234,18,2,20,13,4,0,37,36,426,560,78,21,3,6,33,4,1,145,0,0,1,0,361,3,104,39,5,15,75,7,5,112,0,4,7,18,76,74,21,4,0
20100708PHICIN0,CIN,87,PHI,0,-1,20,13,98,59,137,3,2,17,15,20,2,1,534,204,7,0,20,10,3,0,48,50,366,521,76,33,2,11,41,7,2,89,1,5,0,0,323,7,105,31,3,24,51,4,5,137,0,14,2,11,84,81,5,4,2
20100802ATLNYN0,ATL,105,NYN,1,3,20,10,85,76,176,8,3,16,19,20,6,0,539,214,12,1,20,11,5,0,33,36,407,543,84,14,0,10,45,5,4,72,0,3,3,0,343,8,118,42,2,14,62,3,8,130,0,6,4,18,85,85,6,4,0
20100921ARICOL0,ARI,151,COL,1,2,20,7,75,90,138,15,6,52,80,20,10,0,522,196,6,1,20,5,10,0,74,67,372,537,108,24,3,17,34,3,0,65,0,4,0,0,298,6,91,29,3,19,55,5,1,179,0,5,1,13,77,75,4,5,0
20100724PITSDN0,SDN,96,PIT,0,7,20,11,107,91,147,1,1,5,3,20,3,0,534,202,6,3,20,10,6,0,36,35,360,475,62,13,0,9,32,2,3,109,3,2,0,0,312,5,98,21,4,21,56,10,8,148,1,7,7,8,91,75,14,8,1
20100903MINTEX0,MIN,135,TEX,1,1,20,13,79,75,138,7,4,28,23,20,8,0,546,224,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,8,118,41,3,18,64,6,5,133,0,6,7,16,90,74,6,4,1
20100701ANATEX0,TEX,78,ANA,0,-1,20,17,135,65,167,4,3,23,20,20,5,0,537,188,9,2,15,6,3,0,37,36,290,402,56,13,1,6,44,6,0,69,1,1,0,0,356,14,150,48,3,29,63,6,7,119,0,4,9,16,134,137,18,5,4
20100728COLPIT0,PIT,100,COL,0,4,20,7,95,97,127,1,1,4,2,20,6,1,528,201,9,1,20,1,10,0,53,51,347,495,58,29,5,16,39,5,3,88,1,5,5,0,306,8,104,36,2,17,41,2,1,125,0,2,5,14,80,70,11,2,1
20100526SDNSLN0,SLN,47,SDN,0,-1,20,8,73,87,144,1,0,0,1,20,16,0,525,218,19,0,8,4,2,0,9,7,148,201,28,7,0,1,20,1,0,42,0,1,0,0,287,8,94,34,3,6,61,11,3,106,0,3,2,15,62,55,12,6,0
20100925PITHOU0,HOU,155,PIT,0,-2,20,12,89,88,131,13,11,69,48,20,8,0,537,166,11,3,20,8,5,0,66,59,362,521,72,23,2,17,47,4,3,120,2,3,2,0,359,5,118,29,1,18,44,1,4,104,0,11,3,18,68,74,14,4,0
20100801NYNARI0,NYN,105,ARI,1,-13,20,6,59,75,142,5,1,18,33,20,2,4,557,221,11,0,20,7,5,0,43,45,347,504,81,28,0,13,38,6,1,89,0,1,0,0,335,3,102,32,5,17,43,6,2,126,0,7,6,8,59,68,13,5,1
20100819CHNSDN0,SDN,120,CHN,0,2,20,13,88,60,133,3,3,15,6,20,3,0,531,198,12,2,20,12,4,0,27,28,375,489,59,14,0,9,36,2,1,127,1,4,0,0,332,8,119,36,4,17,64,9,8,126,1,6,4,16,94,86,19,5,2
20100831SEAANA0,SEA,132,ANA,1,2,20,10,65,77,132,14,3,50,81,20,14,1,530,221,11,2,20,8,7,0,44,34,460,611,86,27,2,8,33,5,1,146,1,10,1,0,374,11,118,24,3,15,45,4,5,126,0,3,4,15,66,59,15,5,0
20100922OAKCHA0,OAK,151,CHA,1,-1,20,11,78,73,148,8,5,35,25,20,6,0,522,204,11,1,20,9,7,0,42,33,348,479,84,23,0,7,18,6,2,90,1,4,0,0,294,8,76,21,3,4,52,1,5,110,0,4,5,18,43,55,12,5,1
20100620SLNOAK0,SLN,69,OAK,1,-1,20,11,99,76,137,2,2,10,7,20,3,0,533,229,15,2,20,2,9,0,77,70,314,496,81,37,3,17,41,7,8,51,0,9,1,0,325,7,100,37,3,24,65,6,3,111,0,12,6,18,95,94,17,3,1
20100409MILSLN0,SLN,4,MIL,0,1,3,2,18,11,23,0,0,0,0,3,1,0,79,36,2,0,20,4,10,0,65,60,302,452,71,27,4,15,33,3,2,68,1,1,1,0,306,5,134,26,2,11,52,4,12,100,0,5,3,13,74,70,8,3,2
20100517NYABOS0,NYA,38,BOS,1,2,20,12,116,76,152,6,4,43,29,20,6,0,522,204,7,1,13,8,2,0,25,27,221,306,37,15,0,7,29,5,0,70,1,2,0,0,355,8,134,29,5,18,59,4,10,107,0,6,8,8,99,101,14,5,1
20100905BALTBA0,TBA,136,BAL,0,-1,20,14,96,82,133,14,10,75,54,20,3,0,531,158,8,0,20,10,8,0,54,58,352,511,76,26,3,19,38,4,2,72,0,3,3,0,314,6,108,38,6,20,71,4,6,125,0,9,10,9,100,77,14,8,4
20100828COLLAN0,COL,128,LAN,1,2,20,10,75,80,143,10,3,36,36,20,5,0,531,222,7,3,15,6,9,0,40,38,261,371,49,13,1,6,44,4,2,88,0,2,0,0,329,5,111,37,5,19,49,4,5,137,0,3,4,5,79,84,18,4,2
20100916SLNSDN0,SLN,145,SDN,1,4,20,6,75,110,120,3,1,9,6,20,12,0,533,228,10,3,20,5,8,0,62,61,379,526,84,25,4,13,31,4,4,78,0,4,1,0,321,6,103,30,3,18,41,14,13,104,0,2,4,11,78,79,5,5,3
20100503HOUARI0,ARI,26,HOU,0,8,20,8,118,136,152,0,0,0,0,20,9,0,528,196,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,4,87,42,3,29,76,2,3,171,0,0,3,11,105,105,8,3,1
20100615ANAMIL0,ANA,68,MIL,1,-6,20,15,115,83,143,1,0,2,12,20,6,0,534,186,9,2,20,7,6,0,54,50,401,572,88,24,3,21,36,9,1,105,0,4,1,0,348,7,109,40,1,25,58,2,5,140,1,4,5,14,93,107,9,6,3
20100921CHNSFN0,SFN,151,CHN,0,1,20,13,72,42,114,4,3,23,22,20,3,0,537,194,8,1,20,9,6,0,52,51,408,549,72,27,6,15,35,1,1,112,0,7,1,0,323,5,96,29,2,20,46,6,6,133,0,5,3,20,75,73,3,1,0
20100720SEACHA0,CHA,93,SEA,0,4,20,13,104,70,119,4,4,21,13,20,9,0,522,229,16,0,20,10,8,0,52,52,396,535,78,19,2,10,42,1,2,99,0,1,0,0,363,6,135,32,2,17,47,1,7,102,0,5,10,22,87,80,15,14,1
20100830SEAANA0,SEA,131,ANA,1,-2,20,10,63,74,131,13,3,47,76,20,14,1,530,211,12,2,8,2,5,0,21,21,127,182,35,5,0,4,12,2,0,24,0,1,0,0,378,12,116,22,3,16,46,4,6,125,0,3,3,15,66,58,14,5,0
20100929NYNMIL2,NYN,158,MIL,1,-2,20,10,83,87,120,5,2,27,25,20,9,0,531,240,13,2,20,7,8,0,49,44,402,548,89,21,3,11,28,3,3,75,0,10,0,0,347,6,103,35,3,16,49,6,2,106,0,7,3,19,83,79,8,7,2
20100409NYNWAS0,WAS,4,NYN,0,-6,3,1,11,24,26,0,0,0,0,3,1,0,81,36,3,0,15,3,8,0,52,47,235,359,63,23,3,9,33,0,3,66,0,8,1,0,319,7,95,34,7,14,62,5,2,136,2,9,4,11,80,64,17,4,1
20100703BOSBAL0,BOS,81,BAL,1,6,20,13,117,93,135,10,5,57,44,20,5,0,531,193,13,1,20,12,4,0,42,42,389,530,70,21,1,8,48,7,0,132,0,1,0,0,323,3,100,47,4,23,55,3,10,136,0,3,4,15,99,95,3,4,0
20100921DETKCA0,KCA,150,DET,0,3,20,7,94,108,153,16,7,72,87,20,11,0,528,201,19,5,20,9,7,0,52,59,328,482,76,28,0,15,39,2,4,78,0,3,1,0,272,1,100,26,0,20,51,2,4,102,0,1,2,18,73,70,8,5,0
20100616KCAHOU0,HOU,66,KCA,0,2,20,10,89,120,139,1,0,7,15,20,7,0,527,182,10,1,20,6,10,0,50,52,374,520,75,28,1,13,27,4,3,111,0,0,1,0,384,12,126,35,3,19,49,5,2,110,0,4,5,15,93,91,13,3,1
20100426CHNWAS0,WAS,20,CHN,0,-1,19,10,84,100,147,0,0,0,0,19,3,0,516,203,12,0,20,4,9,0,64,62,363,532,90,31,1,13,37,1,3,50,0,0,1,0,355,11,106,28,8,10,69,5,5,114,1,9,2,12,81,65,21,4,1
20100417SEADET0,DET,11,SEA,0,-2,10,6,52,55,86,1,0,3,11,10,9,0,270,104,11,0,20,11,5,0,60,59,422,574,93,28,0,13,31,3,1,148,1,3,2,0,306,8,112,38,1,19,64,4,6,100,0,7,3,18,83,80,3,4,0
20100818CHNSDN0,SDN,119,CHN,0,4,20,13,89,60,134,2,2,10,5,20,3,0,531,200,12,2,20,10,3,0,50,52,369,522,96,17,1,9,45,3,3,101,1,4,1,0,324,7,92,24,5,9,52,15,4,139,0,11,6,12,72,70,18,2,4
20100627LANNYA0,NYA,75,LAN,0,2,20,12,94,87,150,2,1,6,10,20,2,0,544,160,4,2,20,12,4,0,44,42,389,525,74,22,1,11,43,2,1,93,0,3,1,0,314,5,109,29,4,24,75,7,8,125,0,1,7,11,99,96,11,7,2
20100619SEACIN0,CIN,69,SEA,0,-4,20,9,99,99,153,1,0,0,1,20,3,0,540,219,6,0,4,1,3,0,7,10,72,108,18,1,1,3,13,2,2,16,0,1,0,0,355,8,134,40,8,26,47,4,9,128,0,4,8,9,99,109,9,7,2
20100710TEXBAL0,TEX,87,BAL,1,-5,20,12,115,78,173,4,2,27,23,20,7,0,540,197,13,2,20,10,7,0,57,54,430,587,97,38,1,12,10,1,0,124,1,2,0,0,378,14,144,38,4,27,67,6,7,99,1,4,5,11,118,104,16,3,2
20100619ATLKCA0,ATL,69,KCA,1,1,20,14,103,73,177,1,1,6,4,20,9,0,532,224,12,2,11,4,2,0,25,30,183,252,40,10,2,9,18,3,0,46,1,3,2,0,312,6,130,39,2,20,74,5,1,136,0,2,5,14,95,92,9,4,1
20100808SEAKCA0,KCA,111,SEA,0,-1,20,8,72,135,132,8,5,29,27,20,7,0,531,222,19,1,20,5,6,0,68,67,337,501,80,27,0,15,56,1,0,74,0,3,1,0,369,5,130,30,4,7,57,6,2,109,0,5,6,17,63,59,16,5,0
20100701BALOAK0,OAK,80,BAL,0,7,20,8,86,82,146,9,6,41,37,20,7,0,520,201,15,1,20,11,3,0,41,41,361,485,63,21,2,10,41,3,0,74,1,3,3,0,377,7,149,33,3,10,46,2,4,103,1,3,5,18,82,68,17,6,1
20100718CLEDET0,CLE,92,DET,1,5,20,11,77,79,147,11,5,46,51,20,6,0,532,231,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,6,98,37,2,22,65,4,8,125,0,4,3,14,86,76,6,3,2
20100528CINHOU0,CIN,49,HOU,1,9,20,14,116,72,152,3,3,16,8,20,4,0,534,196,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,6,111,39,3,20,61,5,7,110,0,3,6,19,88,90,17,5,1
20100704SDNHOU0,SDN,82,HOU,1,1,20,12,85,69,114,6,4,19,11,20,3,0,540,197,4,4,20,7,6,0,35,37,349,483,80,13,4,12,39,3,3,82,0,2,1,0,340,8,101,32,2,10,45,7,4,123,0,10,3,11,71,62,13,7,2
20100813HOUPIT0,HOU,114,PIT,1,3,20,10,109,93,155,9,7,44,36,20,9,0,538,186,10,3,20,8,6,0,55,47,411,565,81,25,3,12,42,1,2,107,0,2,3,0,318,7,122,39,3,9,39,8,5,128,0,10,4,7,83,86,16,3,0
20100828SDNPHI0,PHI,129,SDN,0,2,20,11,78,72,152,5,3,18,15,20,3,1,567,214,8,1,20,5,5,0,75,74,376,548,106,23,2,18,26,3,3,91,0,1,4,0,360,9,122,32,6,13,56,6,8,130,0,2,5,12,82,74,15,3,1
20100926SDNCIN0,CIN,156,SDN,0,10,20,7,76,92,149,5,1,15,27,20,5,0,524,162,16,1,20,6,3,0,48,54,348,497,78,25,4,9,39,3,4,98,1,4,3,0,327,9,105,38,2,16,55,7,14,146,0,7,4,13,81,68,7,6,1
20100629MILHOU0,HOU,78,MIL,0,-2,20,8,81,114,122,4,2,18,15,20,15,0,522,200,20,2,20,8,6,0,59,52,400,569,89,27,3,16,38,5,2,97,0,2,2,0,301,6,90,30,1,7,49,2,0,95,0,3,3,16,71,53,12,2,1
20100719FLOCOL0,COL,92,FLO,0,-1,20,12,113,120,164,3,2,17,9,20,10,0,552,216,14,3,20,16,2,0,36,36,420,545,59,27,2,7,51,4,2,130,1,8,2,0,312,5,132,26,4,24,54,7,6,148,0,9,8,10,91,104,7,6,1
20100514KCACHA0,CHA,35,KCA,0,-5,20,9,86,109,129,3,2,16,10,20,5,0,534,201,11,0,20,4,11,0,68,66,373,533,102,33,1,15,29,2,2,49,0,3,6,0,399,7,97,32,2,20,58,8,5,95,0,3,4,18,74,70,24,10,2
20100425HOUPIT0,PIT,18,HOU,0,-7,17,7,59,120,119,2,0,5,9,17,7,0,444,192,14,1,20,5,12,0,64,68,319,471,85,23,5,11,44,6,0,72,0,7,0,0,306,10,95,27,0,18,65,2,5,130,0,4,1,10,67,62,18,2,0
20100926TBASEA0,SEA,155,TBA,0,4,20,6,51,83,129,8,1,16,43,20,5,0,529,201,12,1,20,7,11,0,66,65,351,507,76,31,2,18,38,4,3,56,0,6,1,0,276,6,103,22,1,10,23,0,5,114,0,5,3,13,42,43,20,7,0
20100816HOUNYN0,NYN,118,HOU,0,2,20,8,60,81,138,0,0,0,0,20,12,4,547,210,17,1,20,7,4,0,45,46,360,517,85,22,0,14,39,6,1,97,0,2,0,0,308,6,93,27,3,11,48,7,3,127,0,10,6,5,60,53,12,5,1
20100527BALOAK0,BAL,48,OAK,1,-2,20,8,75,93,139,6,2,21,24,20,5,0,528,225,11,0,20,9,6,0,57,51,376,540,85,37,1,12,27,5,6,60,1,0,0,0,393,4,118,19,1,13,44,1,5,122,0,4,3,25,59,56,12,5,1
20100703ARILAN0,LAN,80,ARI,0,13,20,8,92,95,160,10,8,60,44,20,1,0,524,207,13,1,20,7,5,0,38,40,365,505,66,14,2,7,55,5,2,136,2,6,3,0,316,8,123,35,6,9,60,8,3,134,0,16,8,13,82,84,13,8,2
20100531FLOMIL0,FLO,52,MIL,1,8,20,11,81,69,145,0,0,0,0,20,6,0,528,193,10,2,16,5,7,0,45,36,244,368,61,18,1,7,37,5,2,48,1,2,2,0,307,8,117,30,1,21,53,2,6,131,0,4,5,15,84,73,10,2,2
20101003HOUCHN0,HOU,162,CHN,1,4,20,8,75,104,123,17,10,79,71,20,8,0,522,170,14,1,20,5,11,0,54,49,338,495,77,18,3,16,40,8,4,88,0,5,1,0,299,4,102,23,0,13,27,2,5,113,0,7,2,18,52,59,1,1,0
20100417LANSFN0,LAN,11,SFN,1,-9,10,5,68,60,92,1,1,10,8,10,4,0,272,103,10,1,4,1,1,0,11,10,67,95,9,1,0,5,10,1,0,24,0,3,1,0,280,8,97,28,2,16,48,3,2,108,0,4,8,14,74,84,9,3,2
20100815COLMIL0,MIL,119,COL,0,-1,20,10,94,108,144,8,4,37,34,20,6,0,531,161,14,0,20,5,8,0,68,68,299,471,80,20,2,17,54,2,3,97,1,11,0,0,306,10,121,37,4,17,53,4,8,158,0,2,6,16,95,81,7,1,2
20100516KCACHA0,KCA,38,CHA,1,2,20,7,69,93,135,5,2,20,22,20,5,0,522,199,13,0,20,3,10,0,67,68,349,511,83,26,0,15,40,2,2,76,2,15,0,0,374,7,117,33,7,15,51,3,7,101,0,7,4,21,69,70,8,4,3
20100617CINLAN0,CIN,67,LAN,1,6,20,10,104,99,162,5,2,27,46,20,3,0,543,217,6,0,20,9,4,0,55,57,414,563,76,30,0,14,37,3,4,80,0,0,1,0,318,7,121,35,7,24,54,1,11,139,0,12,9,7,94,105,15,6,2
20100819OAKTBA0,TBA,121,OAK,0,-1,20,12,93,72,140,5,3,24,18,20,4,0,540,179,10,2,20,7,10,0,75,76,313,470,80,24,3,19,37,2,1,58,0,3,0,0,297,2,87,39,6,22,65,5,7,158,1,2,7,13,91,97,19,4,2
20100723CLETBA0,CLE,96,TBA,1,2,20,12,84,74,148,6,1,21,28,20,8,0,535,242,13,4,20,10,7,0,54,51,391,544,93,14,4,7,51,6,0,69,0,2,0,0,360,6,123,33,3,18,77,2,6,126,0,9,5,15,91,76,9,3,2
20100623CHAATL0,ATL,72,CHA,0,-2,20,13,102,83,170,1,0,6,9,20,11,0,529,227,15,2,20,8,3,0,39,39,388,527,89,17,0,10,40,3,4,66,0,3,1,0,348,6,145,42,2,16,87,5,2,131,0,4,5,21,101,104,13,4,1
20100821BOSTOR0,BOS,124,TOR,1,1,20,11,90,99,146,13,9,78,65,20,10,0,533,192,16,3,20,9,5,0,53,54,369,529,71,26,0,10,59,6,0,105,0,5,1,0,337,6,92,36,1,32,50,4,2,107,0,3,5,19,79,88,5,2,0
20100709COLSDN0,COL,86,SDN,1,2,20,14,114,111,160,9,6,47,39,20,6,0,558,236,10,2,20,14,3,0,45,47,353,501,64,26,2,11,51,7,2,125,2,8,0,0,286,3,138,28,8,18,56,8,6,170,0,8,7,7,96,94,11,10,2
20100508CLEDET0,DET,30,CLE,0,2,20,10,90,91,155,3,3,18,12,20,8,0,515,213,17,1,20,10,6,0,61,62,413,560,89,26,2,12,31,3,1,143,1,4,1,0,314,5,117,45,3,19,66,3,4,126,0,4,4,18,90,86,7,1,0
20100421CHATBA0,TBA,15,CHA,0,12,14,10,71,52,76,1,0,1,4,14,1,0,387,138,7,1,8,2,3,0,20,20,142,197,31,7,0,4,20,0,1,43,0,2,0,0,317,9,93,27,3,24,73,4,4,123,0,4,7,16,104,92,25,6,2
20100908PITATL0,PIT,139,ATL,1,-6,20,7,71,113,129,8,3,21,32,20,8,0,520,198,13,2,20,5,11,0,74,69,340,515,106,28,1,17,32,3,1,77,3,2,0,0,305,12,83,44,5,21,44,2,5,146,0,8,4,8,75,77,8,2,0
20100904LANSFN0,LAN,136,SFN,1,-1,20,10,70,75,133,13,7,47,48,20,4,0,529,178,7,0,20,7,6,0,52,49,394,528,66,18,4,20,28,3,3,112,2,2,0,0,297,5,100,32,0,15,52,12,5,121,0,3,2,19,69,57,11,7,2
20100407CINSLN0,CIN,2,SLN,1,-3,1,0,6,11,8,1,0,6,11,1,1,0,27,8,1,0,20,7,8,0,66,65,311,474,75,27,3,17,41,11,0,82,0,2,1,0,331,5,108,49,6,23,59,1,3,110,0,11,6,17,111,105,10,2,2
20100430SDNMIL0,SDN,23,MIL,1,3,20,13,94,68,142,1,1,9,0,20,4,2,543,198,9,1,20,6,6,0,52,51,326,466,78,19,2,9,50,0,0,77,2,4,0,0,326,2,102,27,3,15,61,4,9,122,0,7,3,8,84,72,22,4,4
20100502NYACHA0,NYA,24,CHA,1,9,20,13,108,72,151,2,1,12,11,20,2,0,516,197,4,1,10,5,2,0,23,25,158,227,23,13,0,7,26,5,0,49,1,1,0,0,335,3,118,33,6,24,81,0,11,127,0,2,6,13,106,90,17,5,0
20100910ANASEA0,SEA,141,ANA,0,-1,20,8,61,80,129,16,4,55,86,20,8,0,522,204,13,3,10,2,7,0,29,29,163,233,44,6,0,7,16,3,0,30,0,1,0,0,359,11,123,24,3,14,35,3,7,134,0,3,7,13,56,57,17,7,0
20100929TORNYA0,NYA,159,TOR,0,-4,20,8,93,101,158,17,8,83,81,20,3,0,550,191,5,1,20,7,6,0,57,57,349,492,56,26,3,20,40,3,4,89,0,4,0,0,301,6,112,23,0,26,66,4,8,136,0,2,7,15,85,90,2,1,0
20100510ANATBA0,TBA,32,ANA,0,-1,20,14,119,49,134,0,0,0,0,20,6,0,537,188,15,1,20,7,6,0,53,51,391,549,70,28,3,13,48,8,0,126,0,4,0,0,327,8,99,41,4,17,75,2,5,141,0,3,8,10,98,104,12,9,3
20100719KCATOR0,TOR,93,KCA,0,-1,20,9,85,96,135,3,2,15,8,20,16,1,533,214,12,1,20,10,8,0,64,62,348,492,73,25,1,17,36,1,1,82,1,1,0,0,374,6,113,33,1,27,50,3,7,122,0,1,2,13,78,72,6,2,1
20100910COLARI0,COL,141,ARI,1,9,20,14,103,79,158,12,6,61,45,20,2,0,532,231,6,1,20,8,4,0,51,51,341,482,58,28,1,10,54,7,2,117,2,7,0,0,318,4,104,38,11,20,55,5,5,148,0,3,3,10,84,89,17,7,1
20100828SFNARI0,SFN,130,ARI,1,-8,20,9,91,107,133,10,7,54,43,20,8,0,549,184,18,0,20,3,8,0,58,62,370,529,78,29,2,17,46,4,2,93,0,4,1,0,330,5,105,33,3,23,48,5,5,143,0,16,4,25,74,82,5,1,1
20100710ARIFLO0,FLO,87,ARI,0,-1,20,10,93,92,145,4,2,16,17,20,7,0,537,170,16,1,20,7,8,0,67,59,305,466,78,31,1,10,43,6,2,59,1,2,2,0,293,7,120,32,1,16,43,3,8,139,0,9,3,14,83,80,11,3,3
20100520HOUCOL0,HOU,41,COL,1,-4,20,6,56,95,115,1,1,7,3,20,10,0,522,217,8,2,20,5,7,0,45,51,369,505,81,25,2,11,21,5,3,101,0,0,1,0,357,9,100,25,0,15,39,3,3,102,0,14,4,19,57,57,7,5,1
20100721FLOCOL0,COL,94,FLO,0,-3,20,12,116,113,156,5,3,35,18,20,11,0,542,213,16,2,20,9,5,0,52,57,365,516,96,17,2,14,28,4,1,106,1,8,2,0,301,2,116,26,3,26,66,8,9,150,0,11,6,12,84,99,6,3,1
