gid,team,gameNumber,opp,home,spread,n,wins,scored,allowed,lob,n_vs,wins_vs,scored_vs,allowed_vs,dn,dUR,dTUR,dP,dA,dE,dPB,pn,pW,pL,pSV,pR,pER,pIP,pBF,pS,pD,pT,pHR,pBB,pHBP,pIBB,pK,pBK,pWP,pPO,pGDP,bO,bE,bS,bD,bT,bHR,bBB,bIBB,bHBP,bK,bI,bSH,bSF,bGDP,bR,bRBI,bSB,bCS,bPO
20101001BALDET2,DET,160,BAL,0,-1,20,11,113,103,140,7,4,41,39,20,9,0,540,209,17,2,20,8,8,0,61,62,379,528,100,13,3,14,26,3,2,61,3,7,0,0,358,8,135,31,5,16,49,2,8,120,0,7,3,12,91,85,9,3,1
20100912CLEMIN0,CLE,143,MIN,1,-4,20,8,65,76,158,14,6,49,65,20,5,0,566,205,16,1,20,6,9,0,63,61,339,508,86,35,1,7,48,7,2,69,0,3,1,0,341,8,99,33,1,12,53,6,7,142,0,4,3,10,57,65,8,5,4
20100825SFNCIN0,CIN,127,SFN,0,1,20,13,105,97,146,6,2,25,45,20,11,0,528,190,10,1,20,9,3,0,39,43,366,519,81,21,3,9,44,3,3,104,1,5,1,0,311,5,119,27,2,14,57,3,8,147,0,9,7,8,93,85,8,3,0
20100521PHIBOS0,BOS,43,PHI,0,-4,20,11,120,108,155,0,0,0,0,20,9,0,543,219,12,1,20,8,6,0,63,59,389,550,93,26,5,12,40,3,0,92,0,1,1,0,330,5,102,39,1,22,79,1,5,114,0,3,3,14,103,82,4,3,0
20100622NYNDET0,DET,69,NYN,0,-8,20,13,99,81,150,0,0,0,0,20,5,0,531,189,13,1,20,11,6,0,51,57,411,556,84,22,2,10,39,2,1,132,1,5,3,0,297,5,114,32,3,21,42,4,2,99,0,4,4,16,79,85,5,1,2
20100417WASMIL0,MIL,11,WAS,0,-8,10,4,50,60,79,1,0,3,5,10,4,0,261,103,5,0,20,9,4,0,44,44,394,528,69,25,1,12,31,5,0,101,0,1,2,0,282,8,115,40,3,24,62,3,10,144,0,5,7,12,101,106,12,4,2
20101002KCATBA0,TBA,161,KCA,0,4,20,9,88,77,131,6,2,18,18,20,6,0,537,174,11,2,20,7,9,0,71,74,315,470,78,23,3,19,37,2,0,59,0,2,0,0,311,1,91,26,8,25,85,2,3,162,1,1,3,6,92,79,15,3,2
20100914COLSDN0,SDN,144,COL,0,1,20,7,58,79,122,16,5,71,86,20,6,0,540,181,11,1,20,8,9,0,53,54,362,510,78,15,3,15,46,5,7,84,0,1,1,0,325,3,111,26,3,12,37,5,5,136,0,6,9,17,61,70,10,5,0
20100917LANCOL0,LAN,148,COL,1,-2,20,7,60,78,124,12,7,44,51,20,3,0,519,178,7,0,20,5,11,0,49,48,368,505,77,21,1,9,25,5,6,103,0,9,2,0,313,4,82,24,2,15,52,6,2,138,0,10,1,15,54,54,10,3,2
20100502SLNCIN0,CIN,25,SLN,0,-6,20,10,93,110,135,5,2,17,26,20,2,0,535,214,8,1,20,2,12,0,66,65,364,531,92,28,2,20,31,5,4,102,0,7,3,0,333,5,98,29,5,25,68,5,4,122,0,10,10,15,89,91,14,8,4
