gid,team,gameNumber,opp,home,spread,n,wins,scored,allowed,lob,n_vs,wins_vs,scored_vs,allowed_vs,dn,dUR,dTUR,dP,dA,dE,dPB,pn,pW,pL,pSV,pR,pER,pIP,pBF,pS,pD,pT,pHR,pBB,pHBP,pIBB,pK,pBK,pWP,pPO,pGDP,bO,bE,bS,bD,bT,bHR,bBB,bIBB,bHBP,bK,bI,bSH,bSF,bGDP,bR,bRBI,bSB,bCS,bPO
20170928BOSHOU0,HOU,159,BOS,0,10,20,13,106,87,122,3,1,13,9,20,3,0,525,180,11,1,20,9,2,0,37,38,320,443,56,20,2,8,45,2,0,133,0,4,2,0,352,9,109,44,2,23,57,3,8,116,0,1,4,13,103,104,15,4,5
20170526BOSSEA0,BOS,47,SEA,1,3,20,11,122,100,148,0,0,0,0,20,6,0,539,150,12,5,20,4,4,0,37,42,341,469,52,22,2,10,41,5,2,123,0,1,0,0,320,11,110,38,4,20,69,8,4,152,0,2,5,22,105,89,21,3,0
20170801CHNARI0,CHN,105,ARI,1,12,20,14,98,79,146,0,0,0,0,20,9,0,543,205,12,2,20,8,6,0,61,54,357,487,65,21,2,19,34,2,2,116,0,0,3,0,310,9,97,37,2,27,55,8,7,155,0,5,4,23,83,92,11,5,1
20170621MINCHA0,MIN,69,CHA,1,2,20,9,101,131,133,9,6,40,28,20,4,0,530,199,8,3,20,9,7,0,61,60,301,443,63,18,1,16,47,10,0,89,1,3,3,0,347,4,117,33,0,28,50,2,6,165,0,4,3,14,89,94,11,2,2
20170417BOSTBA0,TBA,14,BOS,0,-1,13,6,56,59,83,3,1,16,14,13,9,0,342,127,8,2,20,6,9,0,46,38,286,430,72,17,1,6,58,0,0,98,1,4,1,0,283,9,102,33,6,25,64,5,10,183,0,2,3,18,95,83,10,1,1
20170624KCATOR0,KCA,73,TOR,1,1,20,14,109,89,121,1,1,5,4,20,11,0,534,182,9,0,17,10,3,0,26,25,298,398,62,17,1,7,23,2,0,79,0,2,0,0,338,6,111,45,2,33,43,2,3,152,1,1,6,18,115,108,5,0,0
20170409CHAMIN0,CHA,5,MIN,1,-3,4,2,21,13,26,2,1,7,5,4,2,0,108,38,5,0,20,8,6,0,54,55,386,527,75,27,0,20,36,3,0,102,0,4,2,0,300,5,91,32,6,19,42,0,7,147,0,2,4,9,80,76,6,4,1
20170610PITMIA0,PIT,62,MIA,1,1,20,8,98,107,160,5,2,27,31,20,2,0,561,235,11,2,7,2,2,0,17,18,107,150,24,7,1,5,6,3,0,19,0,0,0,0,304,3,116,31,2,20,60,5,9,115,0,3,4,16,88,90,10,4,2
20170413KCAOAK0,OAK,10,KCA,0,-2,9,5,37,37,59,2,2,10,3,9,2,0,237,84,9,0,9,2,4,0,29,31,139,203,43,5,1,8,18,0,1,23,0,2,0,0,313,4,78,32,2,31,58,2,3,165,0,0,10,19,82,85,10,2,2
20170701ARICOL0,ARI,82,COL,1,4,20,14,122,77,139,10,4,50,45,20,18,1,549,195,15,0,20,10,7,0,56,49,375,507,67,16,3,21,31,0,3,136,0,4,0,0,315,4,114,36,4,25,56,4,7,150,0,4,5,13,99,102,8,2,3
20170627CLETEX0,TEX,77,CLE,0,1,20,12,119,99,118,4,0,23,36,20,4,0,542,202,6,2,3,1,2,0,15,16,42,66,10,7,0,1,5,2,0,12,0,3,1,0,298,6,96,30,3,37,74,2,9,196,0,2,4,10,118,107,22,5,0
20170728TORANA0,TOR,103,ANA,1,-5,20,11,82,114,141,4,2,19,16,20,16,0,552,206,13,0,20,6,7,0,51,47,335,486,74,16,2,19,34,2,0,89,0,4,0,0,337,6,98,30,0,27,77,1,6,166,0,0,4,23,77,81,2,4,0
20170505PHIWAS0,WAS,29,PHI,0,2,20,14,131,85,141,6,3,24,37,20,5,0,546,189,8,1,20,10,5,0,50,52,365,492,56,25,3,13,35,1,0,139,0,1,0,0,311,4,119,38,5,29,65,6,5,146,0,6,2,19,101,116,20,1,2
20170519NYNANA0,ANA,44,NYN,0,-3,20,11,92,86,130,0,0,0,0,20,1,0,548,174,10,0,20,6,8,0,45,49,380,508,69,23,0,22,26,3,1,98,0,4,2,0,308,5,84,27,2,19,58,7,13,135,1,4,3,14,83,61,16,2,0
20170701HOUNYA0,HOU,82,NYA,1,1,20,11,112,103,139,5,3,28,34,20,2,0,537,185,12,1,3,2,0,0,6,6,38,57,5,5,0,1,9,2,0,14,0,1,0,0,371,4,112,51,1,33,62,3,8,117,0,0,8,14,112,107,8,3,1
20170929MIAATL0,MIA,160,ATL,1,1,20,8,119,129,153,16,6,77,71,20,7,0,546,206,12,3,20,6,5,0,56,54,333,475,73,23,5,20,28,2,3,98,0,2,1,0,313,4,124,34,6,17,53,3,3,159,0,4,6,15,88,87,11,2,0
