gid,team,gameNumber,opp,home,spread,n,wins,scored,allowed,lob,n_vs,wins_vs,scored_vs,allowed_vs,dn,dUR,dTUR,dP,dA,dE,dPB,pn,pW,pL,pSV,pR,pER,pIP,pBF,pS,pD,pT,pHR,pBB,pHBP,pIBB,pK,pBK,pWP,pPO,pGDP,bO,bE,bS,bD,bT,bHR,bBB,bIBB,bHBP,bK,bI,bSH,bSF,bGDP,bR,bRBI,bSB,bCS,bPO
20160717CHNTEX0,CHN,91,TEX,1,-3,70,40,346,268,528,2,2,9,1,70,21,0,1900,674,48,5,51,20,15,0,115,115,1004,1365,215,50,4,35,83,11,6,295,3,8,2,0,800,12,259,96,5,69,164,15,33,421,0,8,7,32,224,239,21,13,3
20160701ATLMIA0,ATL,80,MIA,1,-2,70,27,240,313,499,9,7,43,33,70,19,0,1917,705,47,5,49,14,15,0,118,119,920,1257,171,45,3,40,93,14,4,270,0,8,8,0,1065,31,384,102,11,40,141,17,23,443,0,30,16,47,195,196,29,14,1
20160404MILSFN0,SFN,1,MIL,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,9,0,71,70,655,869,125,30,5,21,37,7,2,234,0,1,1,0,1146,17,428,126,10,59,167,11,15,390,0,4,20,63,304,278,44,8,5
20160723MILCHN0,CHN,96,MIL,0,-5,70,39,334,269,516,6,4,23,17,70,19,0,1897,665,45,5,52,20,16,0,119,119,1028,1397,219,51,4,36,85,11,6,303,3,8,2,0,994,16,340,121,9,83,227,18,44,516,0,9,10,39,308,292,34,14,3
20160919OAKHOU0,HOU,150,OAK,0,2,70,36,320,302,444,16,10,71,50,70,14,0,1882,660,31,12,3,0,1,0,4,5,44,61,3,9,0,1,5,1,0,10,0,1,0,0,932,28,303,118,11,78,162,12,18,482,0,11,11,41,276,265,29,21,2
20160912SLNCHN0,SLN,143,CHN,1,-3,70,37,320,314,481,13,7,54,66,70,25,0,1898,778,44,4,56,20,19,0,164,159,1045,1444,235,71,6,40,68,10,6,230,2,11,8,0,1034,25,323,112,15,88,171,8,19,488,0,9,10,43,280,266,16,11,4
20160820SEAMIL0,MIL,122,SEA,0,-6,70,29,280,326,474,1,0,6,7,70,41,0,1842,738,69,4,35,10,18,0,109,109,560,832,151,52,6,26,65,7,3,113,1,5,6,0,884,13,336,93,9,73,217,13,14,563,0,4,14,42,251,243,97,24,9
20160918ARILAN0,LAN,149,ARI,0,-1,70,42,332,293,496,18,12,96,61,70,16,0,1891,607,34,5,2,2,0,0,6,5,33,45,5,0,0,3,2,2,0,12,0,0,1,0,709,13,268,89,6,52,124,4,16,315,0,2,8,40,196,183,16,6,3
20160525BOSCOL0,BOS,46,COL,1,7,45,28,264,193,332,1,1,8,3,45,12,0,1209,396,22,15,17,6,8,0,43,38,318,437,58,13,2,12,35,4,1,87,0,2,0,0,1177,23,438,166,14,85,212,15,22,513,1,4,13,62,390,372,41,9,2
20160731TBANYA0,NYA,104,TBA,0,-2,70,38,289,301,474,8,4,25,35,70,18,1,1848,648,40,5,47,17,19,0,140,141,822,1158,182,64,10,40,52,7,0,291,0,8,1,0,1187,19,404,106,10,71,186,10,20,415,9,7,18,50,293,267,31,11,7
