gid,team,gameNumber,opp,home,spread,n,wins,scored,allowed,lob,n_vs,wins_vs,scored_vs,allowed_vs,dn,dUR,dTUR,dP,dA,dE,dPB,pn,pW,pL,pSV,pR,pER,pIP,pBF,pS,pD,pT,pHR,pBB,pHBP,pIBB,pK,pBK,pWP,pPO,pGDP,bO,bE,bS,bD,bT,bHR,bBB,bIBB,bHBP,bK,bI,bSH,bSF,bGDP,bR,bRBI,bSB,bCS,bPO
20090513MINDET0,MIN,34,DET,1,4,30,14,140,155,216,3,2,13,13,30,6,0,784,271,13,5,30,13,5,0,89,86,540,774,137,42,3,25,45,4,0,87,1,2,1,0,550,13,202,49,13,24,88,3,9,161,0,4,12,28,146,125,23,6,2
20090809HOUMIL0,HOU,111,MIL,1,2,30,16,129,151,206,8,3,35,43,30,10,0,801,339,19,4,30,13,9,0,60,51,530,720,106,30,2,17,54,3,5,175,2,1,1,0,532,10,174,46,6,24,56,6,10,159,0,12,7,26,108,109,22,6,1
20090604DETBOS0,DET,52,BOS,1,-3,30,17,150,121,197,2,0,6,15,30,8,0,803,297,11,2,11,1,4,0,32,38,137,216,25,10,1,7,43,1,0,28,0,5,1,0,482,11,169,45,7,33,89,3,3,198,0,10,3,27,144,151,16,8,0
20090608CHADET2,CHA,58,DET,1,5,30,13,112,140,186,4,2,20,20,30,20,0,789,294,19,1,26,7,11,0,87,88,452,670,112,38,4,16,50,4,1,87,0,8,0,0,477,7,161,34,5,26,89,5,3,155,0,2,10,27,111,116,15,9,1
20090602FLOMIL0,MIL,52,FLO,0,-7,30,19,144,122,215,4,3,23,19,30,8,1,795,295,15,1,30,11,12,0,89,87,502,754,122,40,2,14,83,2,3,151,1,13,1,0,449,7,151,47,7,23,93,2,20,162,0,6,10,20,124,123,3,5,1
20090525TEXNYA0,NYA,45,TEX,0,10,30,17,168,152,217,0,0,0,0,30,10,0,832,302,15,3,13,2,6,0,39,42,167,263,43,20,0,9,28,3,0,42,0,3,0,0,508,10,155,50,2,50,109,7,8,196,0,5,6,20,145,150,16,4,3
20090622OAKSFN0,SFN,69,OAK,0,-4,30,18,119,94,190,3,3,15,3,30,8,0,791,242,21,3,30,8,16,0,91,96,471,713,87,56,2,15,83,9,2,153,0,10,1,0,475,10,173,62,4,21,52,8,14,175,0,3,7,18,118,102,14,7,1
20090525BALTOR0,TOR,48,BAL,0,-3,30,15,140,132,234,3,3,17,11,30,11,0,789,343,15,3,7,2,2,0,18,19,123,177,15,12,1,5,19,1,0,27,0,1,0,0,568,10,194,70,3,28,104,9,8,156,0,8,9,26,144,138,16,3,0
20090708MILSLN0,SLN,86,MIL,0,-1,30,15,131,129,192,7,3,22,21,30,15,0,792,356,21,0,30,12,12,0,89,85,530,769,125,36,5,23,68,7,1,118,0,3,4,0,512,5,167,48,5,30,79,19,5,163,1,15,4,25,123,108,13,6,4
20090827FLONYN0,FLO,127,NYN,1,-7,30,18,164,145,251,11,7,40,39,30,13,1,800,287,14,0,18,4,9,0,56,55,280,428,67,19,2,13,42,6,5,85,0,1,3,0,492,7,200,48,5,34,90,11,10,182,0,6,5,17,138,129,14,3,1
20090516DETOAK0,DET,35,OAK,1,8,30,17,165,138,195,1,1,14,1,30,14,6,800,294,14,3,6,3,3,0,14,15,101,140,26,1,0,6,11,0,0,20,0,3,0,0,530,15,190,45,6,27,107,3,12,189,0,10,4,26,152,151,11,7,3
20090614CLESLN0,CLE,65,SLN,1,3,30,16,154,140,216,2,1,8,6,30,8,0,795,311,17,3,30,15,8,0,70,68,647,891,181,36,3,12,36,7,1,154,0,6,0,0,473,10,191,53,2,26,102,3,26,231,0,10,6,21,146,144,8,2,2
20090519TBAOAK0,OAK,36,TBA,0,3,30,11,132,159,196,4,2,18,24,30,18,1,833,314,23,2,9,2,2,0,23,22,138,206,34,12,1,5,19,1,1,38,0,2,0,0,566,15,175,50,6,21,89,3,12,169,0,4,9,21,140,125,11,6,0
20090726LANFLO0,LAN,98,FLO,1,-2,30,18,152,122,215,5,3,28,24,30,12,0,833,295,18,2,1,1,0,0,3,3,15,23,3,1,1,0,3,1,0,2,0,0,0,0,537,11,181,40,8,27,89,9,12,134,0,8,5,25,140,113,20,12,2
20090505ATLNYN0,ATL,26,NYN,1,-1,25,11,102,110,184,1,0,4,6,25,9,0,660,250,16,3,4,1,3,0,19,17,65,99,11,6,2,5,11,2,0,18,0,1,0,0,465,5,176,59,3,20,92,13,6,151,0,5,6,29,126,102,4,4,1
20090728BALKCA0,KCA,99,BAL,0,1,30,10,102,147,212,5,3,27,20,30,14,0,792,293,23,3,30,8,15,0,100,91,524,771,129,37,2,23,56,7,3,110,2,8,2,0,522,13,167,59,7,20,78,1,5,164,0,8,6,21,108,99,15,6,1
20090812SEACHA0,SEA,114,CHA,1,1,30,16,125,147,210,5,2,20,16,30,12,0,798,296,22,3,30,14,7,0,77,71,609,855,138,33,1,17,65,10,3,183,1,16,2,0,551,11,184,71,3,28,77,7,10,184,0,6,8,29,132,130,14,4,1
20090625HOUKCA0,KCA,71,HOU,0,-1,30,10,104,173,182,2,2,6,4,30,19,0,792,301,27,3,30,9,14,0,112,101,509,760,132,38,3,24,58,8,3,107,1,5,2,0,475,8,145,33,12,23,56,2,8,183,0,5,2,23,97,93,13,4,2
20090618KCAARI0,KCA,65,ARI,1,-7,30,11,115,156,187,2,1,10,12,30,17,0,786,299,25,2,27,8,14,0,97,96,469,680,115,33,3,16,56,6,1,81,0,8,1,0,487,7,166,41,12,18,64,4,6,175,0,5,5,27,104,100,14,4,4
20090624MILMIN0,MIN,73,MIL,0,-1,30,17,133,105,210,4,4,30,11,30,6,0,794,270,9,1,30,10,9,0,85,75,546,771,137,35,4,19,43,2,5,77,0,2,1,0,460,6,161,48,7,36,84,9,8,178,0,7,13,26,134,139,10,2,0
20090628ARIANA0,ARI,76,ANA,1,-4,30,11,138,150,220,2,0,4,14,30,15,0,830,317,29,2,21,5,8,0,49,45,348,508,77,24,2,11,44,7,2,129,1,2,1,0,514,9,170,56,8,23,85,6,8,202,0,10,4,21,126,108,20,5,5
20090720NYABAL0,NYA,92,BAL,1,1,30,19,161,122,237,9,6,62,43,30,15,2,801,288,18,1,30,11,12,0,104,104,536,803,149,41,2,21,65,5,4,128,1,3,3,0,521,11,169,59,1,45,117,10,15,183,0,3,6,27,161,148,15,5,4
20090724NYAOAK0,NYA,96,OAK,1,5,30,21,157,122,235,3,3,20,13,30,16,2,801,289,19,1,30,8,3,0,74,63,483,703,117,23,3,17,67,12,3,160,4,5,0,0,544,11,177,56,1,39,128,12,7,182,0,1,7,28,158,147,15,6,1
20090922PITCIN0,PIT,149,CIN,1,-6,30,8,104,152,205,12,4,50,53,30,15,0,801,327,13,0,30,10,14,0,90,86,601,835,154,39,4,22,42,3,0,98,1,2,2,0,436,7,153,37,7,24,81,12,3,205,0,18,6,22,100,96,16,8,2
20090529TBAMIN0,TBA,51,MIN,1,2,30,15,191,161,243,3,1,13,13,30,15,4,800,292,18,1,30,13,8,0,76,79,601,824,130,42,4,25,41,8,1,147,0,4,1,0,464,12,147,57,8,35,113,12,11,209,0,6,6,12,179,140,44,6,3
20090620BOSATL0,BOS,68,ATL,1,3,30,18,150,110,224,1,0,2,8,30,10,0,794,260,16,2,30,14,9,0,84,84,569,808,128,48,2,14,51,10,1,178,1,3,3,0,518,15,150,59,4,38,124,6,9,210,0,2,7,22,143,147,27,10,2
20090724BOSBAL0,BOS,95,BAL,1,2,30,16,131,117,199,7,6,50,30,30,7,0,786,282,16,1,30,9,11,0,110,109,486,731,119,43,6,23,63,7,0,99,1,3,0,0,515,15,139,61,6,34,118,7,7,218,0,2,10,15,147,131,30,5,0
20090528ARIATL0,ARI,48,ATL,1,3,30,14,142,147,216,2,1,15,4,30,9,2,822,304,29,1,30,13,8,0,68,69,607,816,124,39,2,20,32,6,3,204,0,9,0,0,443,8,125,54,6,31,90,10,5,200,0,9,8,13,118,111,26,8,4
20090503PITCIN0,CIN,24,PIT,0,5,23,12,88,100,159,4,2,14,18,23,8,0,609,232,20,0,30,9,13,0,88,84,496,740,110,36,4,25,70,14,1,147,1,7,3,0,435,5,132,38,3,26,77,5,14,163,0,17,9,16,101,97,18,6,3
20090722PHICHN0,PHI,92,CHN,1,-5,30,17,152,121,207,2,2,14,2,30,4,0,820,283,11,2,30,16,7,0,86,91,513,747,120,35,3,27,49,14,2,101,1,2,0,0,477,7,157,53,3,37,113,11,10,192,0,14,14,16,140,140,19,7,5
